objective,corpus,step,macro_stratum_mase,sample_weighted_mase,macro_stratum_effect_nrmse,mase_stratum_count,effect_stratum_count,treatment_count,effect_candidate_count,effect_scored_count,observed_effect_cell_count
default_loss_random_with_replacement,cross,0,0.9488962161137494,1.2843388321377014,0.4593690301366515,390,390,48365,48365,48268,2601216
default_loss_random_with_replacement,cross,4000,0.9309749413051494,1.2618698472584575,0.47195267654466627,390,390,48365,48365,48268,2601216
default_loss_random_with_replacement,cross,8000,0.9231648286838581,1.2597258830896987,0.439471990430117,390,390,48365,48365,48268,2601216
default_loss_random_with_replacement,cross,12000,0.9225437548466504,1.2491415129709298,0.4464285007413638,390,390,48365,48365,48268,2601216
default_loss_random_with_replacement,cross,16000,0.8966979075579184,1.23758892080751,0.45157349635794003,390,390,48365,48365,48268,2601216
default_loss_random_with_replacement,cross,20000,0.8850413513606331,1.2233207419837904,0.4528173051299759,390,390,48365,48365,48268,2601216
default_loss_random_with_replacement,cross,24000,0.8774913127845575,1.2176061041913118,0.4706730032295793,390,390,48365,48365,48268,2601216
default_loss_random_with_replacement,cross,28000,0.8784781860661017,1.2114004048576228,0.47418408599849804,390,390,48365,48365,48268,2601216
default_loss_random_with_replacement,cross,32000,0.8702609209438076,1.2041483528185202,0.48669716580371447,390,390,48365,48365,48268,2601216
default_loss_random_with_replacement,cross,36000,0.8674545859590643,1.2005378348369142,0.48799095247590246,390,390,48365,48365,48268,2601216
default_loss_random_with_replacement,cross,40000,0.8545754270819911,1.1941682308276713,0.48647233659446965,390,390,48365,48365,48268,2601216
default_loss_random_with_replacement,train,0,1.019933492515609,1.3420561732622303,0.4636874988436824,390,388,50535,50535,50406,2734560
default_loss_random_with_replacement,train,4000,0.9981053751482731,1.3138829924904185,0.4409128558929903,390,388,50535,50535,50406,2734560
default_loss_random_with_replacement,train,8000,0.9905420077776408,1.3089994502440758,0.44867011676372887,390,388,50535,50535,50406,2734560
default_loss_random_with_replacement,train,12000,0.9824419184943145,1.2948126785530902,0.43400208639131765,390,388,50535,50535,50406,2734560
default_loss_random_with_replacement,train,16000,0.9901529012953698,1.2965685212973455,0.4305732135081319,390,388,50535,50535,50406,2734560
default_loss_random_with_replacement,train,20000,0.9812946031919241,1.2842553391739453,0.4441705549816447,390,388,50535,50535,50406,2734560
default_loss_random_with_replacement,train,24000,0.9756659534044408,1.2792884737739547,0.4491356113215046,390,388,50535,50535,50406,2734560
default_loss_random_with_replacement,train,28000,0.9698155260307754,1.2693055586210709,0.4621524183109184,390,388,50535,50535,50406,2734560
default_loss_random_with_replacement,train,32000,0.9700785128287154,1.2645971473802684,0.47204019181447116,390,388,50535,50535,50406,2734560
default_loss_random_with_replacement,train,36000,0.9652092816972673,1.2599651022963716,0.479876374936822,390,388,50535,50535,50406,2734560
default_loss_random_with_replacement,train,40000,0.9605248416492236,1.2567809590856303,0.47703165736740427,390,388,50535,50535,50406,2734560
