suite,term,model_id,capability_id,capability_level,task_count,task_equal_mase_degradation,task_bootstrap_95_ci_lower,task_bootstrap_95_ci_upper,task_median_mase_degradation,positive_task_fraction,paired_view_count
fev,native,Chronos-2,common_factor,1,8,0.006996019447252515,-0.008849112706355081,0.026714035479679894,0.0026488824767446077,0.625,260
fev,native,Chronos-2,common_factor,2,8,0.031144085788548312,-0.003828273922403996,0.07712222744755837,0.004551399149160649,0.75,260
fev,native,Chronos-2,common_factor,3,8,0.04424999411594352,-0.004310355569563943,0.11438264044594965,0.0026936924407824645,0.75,260
fev,native,Chronos-2,common_factor,4,8,0.0631899150515453,-0.005921341718158142,0.17400270996373698,0.0036571850662703094,0.75,260
fev,native,Chronos-2,common_factor,5,8,0.0958406037032917,-0.006643474543043954,0.2754108734059309,0.0038109001658263785,0.75,260
fev,native,Chronos-2,covariate_impulse_response,1,8,2.991433117993586,-0.33128906944343384,9.239377587878248,0.15881483898183257,0.625,17495
fev,native,Chronos-2,covariate_impulse_response,2,8,3.0003784646974454,-0.30804710481035236,9.211279923618092,0.15133929639434401,0.625,17495
fev,native,Chronos-2,covariate_impulse_response,3,8,2.9549015703650405,-0.2976214869192222,9.02268623760905,0.1528484680076688,0.625,17495
fev,native,Chronos-2,covariate_impulse_response,4,8,2.8900106913324946,-0.2882875217556546,8.825597274443835,0.157192341324963,0.625,17495
fev,native,Chronos-2,covariate_impulse_response,5,8,2.8386928119777024,-0.28401274199995913,8.642762550826458,0.12936198947819091,0.625,17495
fev,native,Chronos-2,cross_series_dependence,1,8,-0.007334225018605717,-0.040034118830812995,0.01618752246841849,0.0011131508907195927,0.625,260
fev,native,Chronos-2,cross_series_dependence,2,8,0.007300890256628946,-0.0003094814636540569,0.017976784475260337,0.0036824355466822194,0.875,260
fev,native,Chronos-2,cross_series_dependence,3,8,0.017405875172395693,-0.0002815833983242521,0.04103051757118699,0.007698893885763175,0.875,260
fev,native,Chronos-2,cross_series_dependence,4,8,0.04197002339182779,0.005505976859684107,0.10712391535840074,0.013461534924187675,0.875,260
fev,native,Chronos-2,cross_series_dependence,5,8,0.007343192574443993,-0.006308137580943734,0.019181692195040734,0.009737203853318482,0.875,260
fev,native,Timer-4.0,common_factor,1,8,-0.027827214111020307,-0.08188055589853405,0.005630727042691774,-0.006775160132393741,0.375,260
fev,native,Timer-4.0,common_factor,2,8,-0.046145640475638905,-0.13425774076493607,0.0028638742741695935,-0.00638497082664591,0.375,260
fev,native,Timer-4.0,common_factor,3,8,-0.0343845251865173,-0.096987051589712,0.001861561589594909,-0.006543535368974493,0.375,260
fev,native,Timer-4.0,common_factor,4,8,-0.03411402466195644,-0.0897209399159149,0.00033878400758952066,-0.005744841447785894,0.25,260
fev,native,Timer-4.0,common_factor,5,8,-0.03402824224798494,-0.08868964169024562,-0.0001456194183333425,-0.0044618603887787624,0.25,260
fev,native,Timer-4.0,covariate_impulse_response,1,8,-0.09013413378424093,-0.30862215897879147,0.053227416396654514,0.01790186118365841,0.75,17495
fev,native,Timer-4.0,covariate_impulse_response,2,8,-0.10137678652372545,-0.3159801881557418,0.03408633442244011,0.01553206506478183,0.75,17495
fev,native,Timer-4.0,covariate_impulse_response,3,8,-0.1287928015197975,-0.34191533394228435,0.013436511082657598,0.006011533266796935,0.625,17495
fev,native,Timer-4.0,covariate_impulse_response,4,8,-0.1208519659855027,-0.3359844719794437,0.019484960995697697,-0.006032148124399375,0.5,17495
