suite,term,model_id,capability_id,level_count,task_count,task_level_equal_mase_degradation,task_bootstrap_95_ci_lower,task_bootstrap_95_ci_upper,task_median_mase_degradation,positive_task_fraction,leave_one_task_out_min,leave_one_task_out_max,paired_view_count
fev,native,Chronos-2,common_factor,5,8,0.04828412362131626,-0.0051991009675692815,0.12833059295769966,0.003322621301334998,0.75,0.010808226090173987,0.058386523305777996,1300
fev,native,Chronos-2,covariate_impulse_response,5,8,2.9350833312732543,-0.2986277516913848,8.981543692394986,0.1499714159519177,0.625,-0.038536194235340764,3.5037720518402766,87475
fev,native,Chronos-2,cross_series_dependence,5,8,0.01333715127533814,0.004186360237106487,0.02444786949481999,0.009427540056716794,0.875,0.00903502697359489,0.015946533968527712,1300
fev,native,Timer-4.0,common_factor,5,8,-0.03529992933662358,-0.09777838797754922,0.0015785662505753656,-0.0062528886186227275,0.375,-0.041807095677070354,-0.005155262956531943,1300
fev,native,Timer-4.0,covariate_impulse_response,5,8,-0.10891658075864825,-0.32237744962276477,0.028058880825354373,0.004126578411309834,0.625,-0.13510899213652974,-0.008197964972614697,87475
fev,native,Timer-4.0,cross_series_dependence,5,8,0.020799075610582116,-0.009880079844920757,0.07170775502205604,0.00011266100898891542,0.5,-0.003508751955767442,0.027467690544689113,1300
fev,native,timesfm2.5,covariate_impulse_response,5,6,0.037439277718708946,0.0035409509273770005,0.07892747620870202,0.02773984633300797,0.8333333333333334,0.02021352962210677,0.04752594761958189,53780
fev,native,tirex2,common_factor,5,8,-0.019602661508029365,-0.05628039159177451,0.0005289747869751742,-0.0030769126272160428,0.25,-0.023385080674954366,-0.0017758005841669391,1300
fev,native,tirex2,covariate_impulse_response,5,8,0.0384591698153022,-0.5295777507155474,0.7056306696424907,0.0037907403578145283,0.625,-0.24217901343789877,0.23458909974602155,87475
fev,native,tirex2,cross_series_dependence,5,8,-0.009566635691063445,-0.02897660768876467,0.0029591612273021334,0.0006407830082532006,0.625,-0.012156853552282415,-0.0005447551767173471,1300
fev,native,toto2.0,common_factor,5,8,0.13484973901827146,-0.009755349880040157,0.4015814400496568,-0.0009640723699794753,0.5,0.004170198208989229,0.15859729978643658,1300
fev,native,toto2.0,cross_series_dependence,5,8,0.5049298956753975,0.0022925619263071857,1.4947399820426717,0.013787340220892407,0.875,0.01218670628853318,0.5805517393184493,1300
gift,long,Chronos-2,common_factor,5,4,0.033601292302041647,-0.06363671525784535,0.15336945743313318,0.011071134730837113,0.75,-0.022862422820837152,0.07504490237745076,45
gift,long,Chronos-2,covariate_impulse_response,5,3,-0.00511637612623773,-0.010026423840119935,-0.00234097346976192,-0.002981731068831334,0.0,-0.006504077454475635,-0.002661352269296627,560
gift,long,Chronos-2,cross_series_dependence,5,6,-0.005593455233724363,-0.0920403211595176,0.08202515825008834,-0.014378624190925234,0.3333333333333333,-0.04219779885279681,0.028179262449582833,125
gift,long,Timer-4.0,common_factor,5,4,0.08003625726325563,-0.06986004592530322,0.25515486755118993,0.04127846688448267,0.5,-0.009778961760611105,0.14401294936794037,45
gift,long,Timer-4.0,covariate_impulse_response,5,3,-0.00502921492450888,-0.038667595166474514,0.023182919418625048,0.0003970309743228276,0.6666666666666666,-0.019135282096075845,0.011789975196473937,560
gift,long,Timer-4.0,cross_series_dependence,5,6,0.051048394969009835,-0.10794371350939193,0.21883908169724153,0.010534233007921116,0.6666666666666666,-0.011775385824568874,0.11963830825269244,125
gift,long,toto2.0,common_factor,5,4,-0.012201951243278199,-0.02910959708143001,0.004674208772034404,-0.012170465420438988,0.25,-0.020025461671267727,-0.0043574502667292,45
gift,long,toto2.0,cross_series_dependence,5,6,0.19549928531270566,-0.0336978913894529,0.6286122472586799,-0.008080855804260944,0.5,-0.019029933010379897,0.24470481794593119,125
gift,medium,Chronos-2,common_factor,5,4,-0.006556483681517181,-0.08152078124101321,0.05015280549829465,0.011698524698167023,0.75,-0.030649407420416202,0.02970644564383797,55
gift,medium,Chronos-2,covariate_impulse_response,5,4,0.010703870480885056,-0.0023207283448278488,0.032729792365651704,0.0013989401894075166,0.5,-0.0003596916669022325,0.015564145767687318,825
gift,medium,Chronos-2,cross_series_dependence,5,6,0.005421538967732089,-0.04772900658845879,0.04794083365887971,0.010520590951380238,0.6666666666666666,-0.008707375185248844,0.029558281527501333,210
gift,medium,Timer-4.0,common_factor,5,4,0.002425007631016513,-0.053649894598209076,0.0584999098602421,0.006853435623345248,0.5,-0.02266967881286469,0.030471979403116873,55
gift,medium,Timer-4.0,covariate_impulse_response,5,4,-0.0083338208484432,-0.020734716395086637,0.004067074698200241,-0.008752439191567174,0.25,-0.014013807543769664,-0.0029329130485327196,825
gift,medium,Timer-4.0,cross_series_dependence,5,6,0.09743651919886637,-0.03901047365870134,0.2547015318265375,-0.017324507847429654,0.3333333333333333,0.031214927183906914,0.12936226888139551,210
gift,medium,toto2.0,common_factor,5,4,-0.023635832186033014,-0.09501287731202915,0.03765200128715809,-0.013546620533227994,0.5,-0.05194527325908413,0.011399749988888111,55
gift,medium,toto2.0,cross_series_dependence,5,6,-0.03870755717062409,-0.0934828874485768,0.0016643737297399573,-0.015567065447337661,0.16666666666666666,-0.05163825391518758,-0.013603623995292668,210
gift,short,Chronos-2,common_factor,5,4,0.038294344341743516,0.009008662375249442,0.06758002630823759,0.04155825621591732,0.75,0.027105611806725233,0.05165901812621101,325
gift,short,Chronos-2,covariate_impulse_response,5,6,-0.0012103438103258492,-0.011749798594548796,0.009675507684541113,0.0011822157618763247,0.6666666666666666,-0.006022625279355295,0.0025684953504090282,21480
gift,short,Chronos-2,cross_series_dependence,5,8,0.01151670782215675,-0.0011027317248773355,0.03048808712294843,0.00212118752038939,0.75,0.002849416325412044,0.013972336719725349,17690
gift,short,Timer-4.0,common_factor,5,4,0.0004812023149410856,-0.007696374862783733,0.005309826772145977,0.003830155035461013,0.75,-0.0013262247647074646,0.00452126454160292,325
gift,short,Timer-4.0,covariate_impulse_response,5,6,-0.004301380743721773,-0.011897735072719061,0.0006759280753631051,-0.00036506103245726503,0.3333333333333333,-0.005572800993334398,-0.0007463745992562949,21480
gift,short,Timer-4.0,cross_series_dependence,5,8,0.003045522337202085,-0.010730898963679963,0.016726095224431196,0.0054388563409963125,0.5,-0.0015126973312198425,0.007956792529983473,17690
gift,short,tirex2,common_factor,5,4,-0.004123525737921456,-0.006465326134408389,-0.0012065658762062705,-0.005287277731397212,0.25,-0.005680104423486966,-0.0033427817146731167,325
gift,short,tirex2,covariate_impulse_response,5,6,0.0011146636563976492,-0.0001208083902004338,0.0032672245988348615,0.0002289318230388513,0.6666666666666666,6.975724449237806e-05,0.0014133561266394842,21480
gift,short,tirex2,cross_series_dependence,5,8,0.0026160509681654436,-0.0020012778071360014,0.007547811827667455,0.0007718103020902649,0.625,0.0009410821204605695,0.003974143151570122,17690
gift,short,toto2.0,common_factor,5,4,0.005018330553955567,-0.011992222228394144,0.03041714665396541,-0.004076922814447732,0.5,-0.007798909171173214,0.01177206803348215,325
gift,short,toto2.0,cross_series_dependence,5,8,0.031042828504090743,-0.0023666216319194835,0.0774031650377778,-0.0008497142611707733,0.5,0.010133286483424283,0.037006981257678484,17690
