objective_id,step,loss,learning_rate,grad_norm
default,200,2.1436085510253906,9.95025e-05,2.019327402114868
default,400,2.2443914794921875,9.90025e-05,1.449607253074646
default,600,2.1972088623046875,9.850250000000001e-05,2.263164758682251
default,800,2.1711073303222657,9.800250000000001e-05,0.7147173881530762
default,1000,2.0225680541992186,9.750250000000001e-05,1.7826151847839355
default,1200,2.1582818603515626,9.700250000000001e-05,1.6255918741226196
default,1400,2.141294250488281,9.650250000000001e-05,0.9473893046379089
default,1600,1.9885552978515626,9.60025e-05,0.5962222218513489
default,1800,2.3006187438964845,9.55025e-05,2.3264660835266113
default,2000,2.111658935546875,9.50025e-05,3.4934630393981934
default,2200,2.1764491271972655,9.45025e-05,0.9375616908073425
default,2400,2.237198486328125,9.40025e-05,3.2846457958221436
default,2600,2.1301591491699217,9.350250000000001e-05,1.3504283428192139
default,2800,2.0016078186035156,9.300250000000001e-05,5.561161518096924
default,3000,1.9158258056640625,9.25025e-05,2.8844218254089355
default,3200,2.0775828552246094,9.20025e-05,2.755159378051758
default,3400,2.0124554443359375,9.15025e-05,2.1941111087799072
default,3600,2.0486573791503906,9.10025e-05,2.23512864112854
default,3800,2.065734100341797,9.05025e-05,1.476288080215454
default,4000,1.960105438232422,9.00025e-05,3.9869494438171387
default,4200,1.9900225830078124,8.95025e-05,2.4796252250671387
default,4400,2.0837989807128907,8.90025e-05,1.0988432168960571
default,4600,2.154648895263672,8.85025e-05,2.986427068710327
default,4800,2.1350164794921875,8.80025e-05,2.3370208740234375
default,5000,2.1362654113769532,8.750250000000001e-05,1.8675240278244019
default,5200,1.9437057495117187,8.700250000000001e-05,2.206470012664795
default,5400,2.0684962463378906,8.650250000000001e-05,3.9618194103240967
default,5600,1.920743408203125,8.60025e-05,5.422582626342773
default,5800,2.0687747192382813,8.55025e-05,1.7958189249038696
default,6000,1.9411416625976563,8.50025e-05,1.9039205312728882
default,6200,2.3420115661621095,8.45025e-05,7.276495456695557
default,6400,2.0507516479492187,8.400250000000001e-05,2.714637517929077
default,6600,1.8790943908691407,8.350250000000001e-05,1.7513405084609985
default,6800,2.031122131347656,8.300250000000001e-05,6.015725135803223
default,7000,2.0075143432617186,8.25025e-05,1.6988035440444946
default,7200,2.020580291748047,8.20025e-05,4.350620746612549
default,7400,1.9390908813476562,8.15025e-05,4.6262102127075195
default,7600,2.0670376586914063,8.10025e-05,1.753517508506775
default,7800,2.1702952575683594,8.05025e-05,4.504273414611816
default,8000,1.9909361267089845,8.00025e-05,2.266662120819092
default,8200,1.9876260375976562,7.95025e-05,0.9495336413383484
default,8400,1.9973001098632812,7.900250000000001e-05,1.0363271236419678
default,8600,2.04189453125,7.85025e-05,3.3270599842071533
default,8800,1.9555126953125,7.80025e-05,1.3737901449203491
default,9000,2.156708526611328,7.75025e-05,2.1736907958984375
default,9200,2.0187908935546877,7.70025e-05,0.9682652950286865
default,9400,1.841829833984375,7.65025e-05,2.799715518951416
default,9600,2.0057769775390626,7.60025e-05,4.341977596282959
default,9800,2.0060325622558595,7.55025e-05,2.44002103805542
default,10000,2.0259275817871094,7.50025e-05,1.3583253622055054
default,10200,1.8909381103515626,7.450250000000001e-05,5.691215991973877
default,10400,1.9573118591308594,7.400250000000001e-05,7.748205184936523
default,10600,1.9603804016113282,7.350250000000001e-05,2.8413991928100586
default,10800,1.843990478515625,7.300250000000001e-05,1.2774522304534912
default,11000,1.9275595092773437,7.250250000000001e-05,5.033872127532959
default,11200,1.9667442321777344,7.20025e-05,1.458370566368103
default,11400,2.0981796264648436,7.15025e-05,3.091472625732422
default,11600,1.8604698181152344,7.10025e-05,3.5040862560272217
default,11800,2.0294064331054686,7.05025e-05,1.6201075315475464
default,12000,1.9295564270019532,7.00025e-05,1.2681679725646973
default,12200,1.9381808471679687,6.950250000000001e-05,3.9332218170166016
default,12400,1.9883694458007812,6.900250000000001e-05,3.037168025970459
default,12600,1.9628860473632812,6.85025e-05,2.793044328689575
default,12800,2.051436309814453,6.80025e-05,2.4203286170959473
default,13000,1.9348484802246093,6.75025e-05,1.9656213521957397
default,13200,1.998425750732422,6.70025e-05,3.99171781539917
default,13400,1.9263014221191406,6.65025e-05,1.9625879526138306
default,13600,2.009706573486328,6.60025e-05,6.126964092254639
default,13800,1.9599642944335938,6.55025e-05,3.86576509475708
default,14000,1.946486358642578,6.500249999999999e-05,2.5680572986602783
default,14200,2.079992370605469,6.45025e-05,2.514307975769043
default,14400,2.0867404174804687,6.40025e-05,4.324842929840088
default,14600,1.9067869567871094,6.35025e-05,0.9048241972923279
default,14800,1.9886135864257812,6.30025e-05,3.6554934978485107
default,15000,1.9681741333007812,6.250250000000001e-05,2.173377513885498
default,15200,1.9591966247558594,6.20025e-05,1.3900080919265747
default,15400,1.8936634826660157,6.15025e-05,2.0245249271392822
default,15600,2.015734100341797,6.1002500000000004e-05,3.9329020977020264
default,15800,1.938541717529297,6.0502500000000006e-05,1.8184021711349487
default,16000,1.9388713073730468,6.000250000000001e-05,2.0567939281463623
default,16200,1.75836669921875,5.950250000000001e-05,2.299197196960449
default,16400,1.9176811218261718,5.90025e-05,2.5859265327453613
default,16600,1.959765625,5.8502500000000004e-05,1.6484488248825073
default,16800,1.7857940673828125,5.8002500000000006e-05,3.2835545539855957
default,17000,2.0372488403320315,5.75025e-05,2.2165451049804688
default,17200,1.9214869689941407,5.70025e-05,7.650556564331055
default,17400,1.911982879638672,5.65025e-05,3.084308385848999
default,17600,1.9498524475097656,5.6002500000000005e-05,6.042738437652588
default,17800,1.9268818664550782,5.55025e-05,1.9327682256698608
default,18000,1.8470013427734375,5.50025e-05,2.9853062629699707
default,18200,1.8932521057128906,5.45025e-05,3.5680980682373047
default,18400,1.9927862548828126,5.4002500000000003e-05,7.836954593658447
