objective_id,corpus,step,metric,capability_id,stratum_count,baseline_macro,value_macro,absolute_change,relative_change_percent,improved_stratum_fraction
default,train,40000,mase,common_factor,20,0.6381259756038987,0.681690361936647,0.043564386332748284,6.826925716590759,0.25
default,train,40000,mase,covariate_impulse_response,20,0.9408549504025012,0.8368427515255144,-0.10401219887698687,-11.055072711525838,0.75
default,train,40000,mase,cross_series_dependence,30,0.8314724330853102,0.7612205130696216,-0.07025192001568858,-8.449097915971516,0.5666666666666667
default,train,40000,mase,multi_seasonal,65,1.2125991638466609,1.1047588034343427,-0.10784036041231815,-8.893323006278697,0.9538461538461539
default,train,40000,mase,predictable_intermittency,65,1.292362732566943,1.238106381755749,-0.054256350811193954,-4.1982292930582865,0.7076923076923077
default,train,40000,mase,regime_switching,65,1.0792671640914466,1.0340567551226807,-0.045210408968765936,-4.188991426124334,0.6461538461538462
default,train,40000,mase,time_varying_seasonality,65,0.9121423708334075,0.8573826778291629,-0.05475969300424466,-6.003415119748434,0.6
default,train,40000,mase,trend,60,0.8164354588566735,0.7694601733773259,-0.046975285479347595,-5.753704713552155,0.5333333333333333
default,train,40000,effect_nrmse,common_factor,19,0.6109871278600794,0.8263113666806929,0.21532423882061358,35.24202540481745,0.3684210526315789
default,train,40000,effect_nrmse,covariate_impulse_response,20,0.44170400833292767,0.49006374456345786,0.04835973623053019,10.948448580543513,0.5
default,train,40000,effect_nrmse,cross_series_dependence,29,0.7530304457421544,0.7774576017485461,0.02442715600639167,3.2438470641538597,0.1724137931034483
default,train,40000,effect_nrmse,multi_seasonal,65,0.6956157694862269,0.6152450200122486,-0.08037074947397838,-11.553899868218798,0.8307692307692308
default,train,40000,effect_nrmse,predictable_intermittency,65,0.9013447280815348,0.9382273320016995,0.036882603920164736,4.091953141909133,0.4153846153846154
default,train,40000,effect_nrmse,regime_switching,65,0.0631422038528162,0.07654085581784664,0.013398651965030442,21.219804104814834,0.3076923076923077
default,train,40000,effect_nrmse,time_varying_seasonality,65,0.40960582559413045,0.4232673137724478,0.01366148817831736,3.3352768258365195,0.6307692307692307
default,train,40000,effect_nrmse,trend,60,0.051649612881169794,0.059626464089448855,0.00797685120827906,15.444164560596786,0.35
default,cross,40000,mase,common_factor,20,0.5259407020919091,0.5385877313403407,0.01264702924843153,2.404649269038961,0.0
default,cross,40000,mase,covariate_impulse_response,20,0.7728353579126426,0.5991155588375234,-0.17371979907511914,-22.478241619834836,0.75
default,cross,40000,mase,cross_series_dependence,30,0.7357821219741967,0.6219006024216532,-0.11388151955254344,-15.47761438494658,0.3333333333333333
default,cross,40000,mase,multi_seasonal,65,1.1155911644889172,0.9909018422476632,-0.12468932224125395,-11.176972909997684,1.0
default,cross,40000,mase,predictable_intermittency,65,1.1530805627610696,1.0771414375460326,-0.07593912521503698,-6.585760584949895,0.7384615384615385
default,cross,40000,mase,regime_switching,65,0.9663938135329359,0.9024911917126899,-0.06390262182024598,-6.612482501996908,0.5230769230769231
default,cross,40000,mase,time_varying_seasonality,65,0.9112042905502895,0.8310066085932802,-0.08019768195700927,-8.801284496649675,0.7384615384615385
default,cross,40000,mase,trend,60,0.8752166731397756,0.7462193746548558,-0.1289972984849198,-14.7388986571921,0.4166666666666667
default,cross,40000,effect_nrmse,common_factor,20,0.11215422755768387,0.11735977250003224,0.005205544942348372,4.641416606138216,0.3
default,cross,40000,effect_nrmse,covariate_impulse_response,20,0.33578789070588644,0.387084494799803,0.051296604093916565,15.276490163502299,0.55
default,cross,40000,effect_nrmse,cross_series_dependence,30,1.0990459207789194,1.201440257384349,0.10239433660542963,9.316656808376166,0.06666666666666667
default,cross,40000,effect_nrmse,multi_seasonal,65,0.6748437654793089,0.6382734665166749,-0.036570298962633974,-5.419076360090525,0.8307692307692308
default,cross,40000,effect_nrmse,predictable_intermittency,65,0.8513415187883967,0.8622666254160517,0.010925106627655001,1.2832813138496046,0.38461538461538464
default,cross,40000,effect_nrmse,regime_switching,65,0.06830135184089818,0.08323852912934261,0.014937177288444431,21.869519249398216,0.4307692307692308
default,cross,40000,effect_nrmse,time_varying_seasonality,65,0.46090849516245663,0.534383814799688,0.07347531963723136,15.941411453337073,0.5538461538461539
default,cross,40000,effect_nrmse,trend,60,0.06038363720060252,0.09852599788836244,0.038142360687759926,63.166716110601115,0.08333333333333333
effect_nrmse,train,40000,mase,common_factor,20,0.6381259756038987,0.7160686798310331,0.07794270422713434,12.214313036445867,0.25
effect_nrmse,train,40000,mase,covariate_impulse_response,20,0.9408549504025012,1.1879538430091736,0.2470988926066724,26.26322925770466,0.0
effect_nrmse,train,40000,mase,cross_series_dependence,30,0.8314724330853102,0.9380638460776675,0.1065914129923573,12.819596748004368,0.16666666666666666
effect_nrmse,train,40000,mase,multi_seasonal,65,1.2125991638466609,1.3958032426867952,0.18320407884013434,15.10837911672034,0.23076923076923078
effect_nrmse,train,40000,mase,predictable_intermittency,65,1.292362732566943,1.5119772533967184,0.2196145208297755,16.99325702417682,0.13846153846153847
effect_nrmse,train,40000,mase,regime_switching,65,1.0792671640914466,1.356939194097831,0.2776720300063844,25.727830813803678,0.07692307692307693
effect_nrmse,train,40000,mase,time_varying_seasonality,65,0.9121423708334075,1.0553363189231864,0.1431939480897788,15.698640110199591,0.2
effect_nrmse,train,40000,mase,trend,60,0.8164354588566735,1.164779214810019,0.34834375595334544,42.666416821381304,0.08333333333333333
effect_nrmse,train,40000,effect_nrmse,common_factor,19,0.6109871278600794,0.6424169612454892,0.03142983338540983,5.144107290032385,0.3684210526315789
effect_nrmse,train,40000,effect_nrmse,covariate_impulse_response,20,0.44170400833292767,0.16901719017343844,-0.27268681815948925,-61.73519212303722,1.0
effect_nrmse,train,40000,effect_nrmse,cross_series_dependence,29,0.7530304457421544,0.6114236415747543,-0.14160680416740012,-18.804924152547187,1.0
effect_nrmse,train,40000,effect_nrmse,multi_seasonal,65,0.6956157694862269,0.42457025307783613,-0.2710455164083908,-38.964832066498666,0.9384615384615385
effect_nrmse,train,40000,effect_nrmse,predictable_intermittency,65,0.9013447280815348,0.704214300803129,-0.1971304272784058,-21.870702866148406,0.9692307692307692
effect_nrmse,train,40000,effect_nrmse,regime_switching,65,0.0631422038528162,0.04638441698009212,-0.016757786872724077,-26.539756058857712,0.6
effect_nrmse,train,40000,effect_nrmse,time_varying_seasonality,65,0.40960582559413045,0.3236175989622859,-0.08598822663184452,-20.99292081774452,0.7692307692307693
effect_nrmse,train,40000,effect_nrmse,trend,60,0.051649612881169794,0.05019024901744949,-0.0014593638637203019,-2.8255078447109727,0.26666666666666666
effect_nrmse,cross,40000,mase,common_factor,20,0.5259407020919091,0.617162475690587,0.09122177359867789,17.34449781807088,0.15
effect_nrmse,cross,40000,mase,covariate_impulse_response,20,0.7728353579126426,1.0015940542153194,0.22875869630267687,29.5999262922614,0.0
effect_nrmse,cross,40000,mase,cross_series_dependence,30,0.7357821219741967,0.8578200149375164,0.12203789296331968,16.5861454523897,0.16666666666666666
effect_nrmse,cross,40000,mase,multi_seasonal,65,1.1155911644889172,1.259096269867672,0.14350510537875483,12.86359285971026,0.2153846153846154
effect_nrmse,cross,40000,mase,predictable_intermittency,65,1.1530805627610696,1.3380471561616374,0.18496659340056776,16.041081549207824,0.06153846153846154
effect_nrmse,cross,40000,mase,regime_switching,65,0.9663938135329359,1.2129643106553762,0.2465704971224404,25.514494574528545,0.1076923076923077
effect_nrmse,cross,40000,mase,time_varying_seasonality,65,0.9112042905502895,1.0602400233202713,0.14903573276998183,16.355907705392504,0.16923076923076924
effect_nrmse,cross,40000,mase,trend,60,0.8752166731397756,1.1513755939027022,0.2761589207629266,31.55320610749184,0.1
effect_nrmse,cross,40000,effect_nrmse,common_factor,20,0.11215422755768387,0.12289861062666944,0.010744383068985577,9.580007194521013,0.35
effect_nrmse,cross,40000,effect_nrmse,covariate_impulse_response,20,0.33578789070588644,0.4471794816637068,0.11139159095782036,33.1732007141935,0.7
effect_nrmse,cross,40000,effect_nrmse,cross_series_dependence,30,1.0990459207789194,0.9478902843728894,-0.15115563640603003,-13.753350387661921,0.9333333333333333
effect_nrmse,cross,40000,effect_nrmse,multi_seasonal,65,0.6748437654793089,0.4519668543158496,-0.2228769111634593,-33.02644590709979,0.9846153846153847
effect_nrmse,cross,40000,effect_nrmse,predictable_intermittency,65,0.8513415187883967,0.7022830607899173,-0.1490584579984794,-17.508656010412228,0.8923076923076924
effect_nrmse,cross,40000,effect_nrmse,regime_switching,65,0.06830135184089818,0.06334840244808554,-0.004952949392812642,-7.251612536674368,0.47692307692307695
effect_nrmse,cross,40000,effect_nrmse,time_varying_seasonality,65,0.46090849516245663,0.42831880631871705,-0.032589688843739584,-7.070750308529828,0.6
effect_nrmse,cross,40000,effect_nrmse,trend,60,0.06038363720060252,0.07952380290930766,0.019140165708705144,31.69760318531154,0.18333333333333332
