objective_id,objective_label,corpus,corpus_label,step,nominal_epoch_equivalents,metric,metric_label,value,baseline,absolute_change,relative_change_percent,gain_percent
default,Chronos default (quantile),cross,Seed B (cross-seed),0,0.0,mase,Macro-stratum MASE,0.9488962161137494,0.9488962161137494,0.0,0.0,0.0
default,Chronos default (quantile),cross,Seed B (cross-seed),0,0.0,effect_nrmse,Macro-stratum effect NRMSE,0.4593690301366515,0.4593690301366515,0.0,0.0,0.0
default,Chronos default (quantile),cross,Seed B (cross-seed),4000,1.0211896859841716,mase,Macro-stratum MASE,0.9309749413051494,0.9488962161137494,-0.017921274808600063,-1.8886443537521447,1.8886443537521431
default,Chronos default (quantile),cross,Seed B (cross-seed),4000,1.0211896859841716,effect_nrmse,Macro-stratum effect NRMSE,0.47195267654466627,0.4593690301366515,0.012583646408014793,2.7393327765851794,-2.73933277658519
default,Chronos default (quantile),cross,Seed B (cross-seed),8000,2.042379371968343,mase,Macro-stratum MASE,0.9231648286838581,0.9488962161137494,-0.02573138742989134,-2.711717782506873,2.7117177825068675
default,Chronos default (quantile),cross,Seed B (cross-seed),8000,2.042379371968343,effect_nrmse,Macro-stratum effect NRMSE,0.439471990430117,0.4593690301366515,-0.019897039706534503,-4.331384660523496,4.331384660523502
default,Chronos default (quantile),cross,Seed B (cross-seed),12000,3.0635690579525146,mase,Macro-stratum MASE,0.9225437548466504,0.9488962161137494,-0.026352461267099003,-2.7771700234011654,2.777170023401167
default,Chronos default (quantile),cross,Seed B (cross-seed),12000,3.0635690579525146,effect_nrmse,Macro-stratum effect NRMSE,0.4464285007413638,0.4593690301366515,-0.01294052939528767,-2.8170225997686815,2.8170225997686797
default,Chronos default (quantile),cross,Seed B (cross-seed),16000,4.084758743936686,mase,Macro-stratum MASE,0.8966979075579184,0.9488962161137494,-0.05219830855583096,-5.50095022716095,5.50095022716095
default,Chronos default (quantile),cross,Seed B (cross-seed),16000,4.084758743936686,effect_nrmse,Macro-stratum effect NRMSE,0.45157349635794003,0.4593690301366515,-0.00779553377871145,-1.6970089987112247,1.697008998711224
default,Chronos default (quantile),cross,Seed B (cross-seed),20000,5.105948429920858,mase,Macro-stratum MASE,0.8850413513606331,0.9488962161137494,-0.0638548647531163,-6.729383431903335,6.729383431903334
default,Chronos default (quantile),cross,Seed B (cross-seed),20000,5.105948429920858,effect_nrmse,Macro-stratum effect NRMSE,0.4528173051299759,0.4593690301366515,-0.006551725006675557,-1.4262443867246732,1.4262443867246717
default,Chronos default (quantile),cross,Seed B (cross-seed),24000,6.127138115905029,mase,Macro-stratum MASE,0.8774913127845575,0.9488962161137494,-0.07140490332919192,-7.525048800556311,7.52504880055631
default,Chronos default (quantile),cross,Seed B (cross-seed),24000,6.127138115905029,effect_nrmse,Macro-stratum effect NRMSE,0.4706730032295793,0.4593690301366515,0.0113039730929278,2.460760815670393,-2.4607608156703846
default,Chronos default (quantile),cross,Seed B (cross-seed),28000,7.148327801889201,mase,Macro-stratum MASE,0.8784781860661017,0.9488962161137494,-0.07041803004764768,-7.421046564612532,7.421046564612529
default,Chronos default (quantile),cross,Seed B (cross-seed),28000,7.148327801889201,effect_nrmse,Macro-stratum effect NRMSE,0.47418408599849804,0.4593690301366515,0.01481505586184656,3.225088086029526,-3.225088086029533
default,Chronos default (quantile),cross,Seed B (cross-seed),32000,8.169517487873373,mase,Macro-stratum MASE,0.8702609209438076,0.9488962161137494,-0.07863529516994183,-8.28702800523291,8.287028005232912
default,Chronos default (quantile),cross,Seed B (cross-seed),32000,8.169517487873373,effect_nrmse,Macro-stratum effect NRMSE,0.48669716580371447,0.4593690301366515,0.02732813566706299,5.9490592256368435,-5.949059225636851
default,Chronos default (quantile),cross,Seed B (cross-seed),36000,9.190707173857543,mase,Macro-stratum MASE,0.8674545859590643,0.9488962161137494,-0.08144163015468509,-8.582775310057954,8.582775310057958
default,Chronos default (quantile),cross,Seed B (cross-seed),36000,9.190707173857543,effect_nrmse,Macro-stratum effect NRMSE,0.48799095247590246,0.4593690301366515,0.028621922339250983,6.230703521901915,-6.2307035219019085
default,Chronos default (quantile),cross,Seed B (cross-seed),40000,10.211896859841715,mase,Macro-stratum MASE,0.8545754270819911,0.9488962161137494,-0.09432078903175833,-9.940053235542845,9.940053235542841
default,Chronos default (quantile),cross,Seed B (cross-seed),40000,10.211896859841715,effect_nrmse,Macro-stratum effect NRMSE,0.48647233659446965,0.4593690301366515,0.027103306457818166,5.900116176694703,-5.900116176694708
default,Chronos default (quantile),train,Seed A (training),0,0.0,mase,Macro-stratum MASE,1.019933492515609,1.019933492515609,0.0,0.0,0.0
