objective_id,corpus,step,mase,effect_nrmse,delta_mase_percent,delta_effect_nrmse_percent,pareto_nondominated_within_objective_corpus
default,train,0,1.019933492515609,0.4636874988436824,0.0,0.0,False
default,train,4000,0.9981053751482731,0.4409128558929903,-2.14015105176103,-4.911636178996892,False
default,train,8000,0.9905420077776408,0.44867011676372887,-2.8817060086413826,-3.2386859937787893,False
default,train,12000,0.9824419184943145,0.43400208639131765,-3.675884192098011,-6.4020299288621185,True
default,train,16000,0.9901529012953698,0.4305732135081319,-2.9198561905038445,-7.141509188435968,True
default,train,20000,0.9812946031919241,0.4441705549816447,-3.7883734191711094,-4.209072685959381,True
default,train,24000,0.9756659534044408,0.4491356113215046,-4.3402378131523704,-3.1382962789521907,True
default,train,28000,0.9698155260307754,0.4621524183109184,-4.913846525543586,-0.33105928811798524,True
default,train,32000,0.9700785128287154,0.47204019181447116,-4.888061824887135,1.8013625537928624,False
default,train,36000,0.9652092816972673,0.479876374936822,-5.365468554559127,3.49133330821092,False
default,train,40000,0.9605248416492236,0.47703165736740427,-5.824757329995823,2.8778344374171816,True
default,cross,0,0.9488962161137494,0.4593690301366515,0.0,0.0,False
default,cross,4000,0.9309749413051494,0.47195267654466627,-1.8886443537521447,2.7393327765851794,False
default,cross,8000,0.9231648286838581,0.439471990430117,-2.711717782506873,-4.331384660523496,True
default,cross,12000,0.9225437548466504,0.4464285007413638,-2.7771700234011654,-2.8170225997686815,True
default,cross,16000,0.8966979075579184,0.45157349635794003,-5.50095022716095,-1.6970089987112247,True
default,cross,20000,0.8850413513606331,0.4528173051299759,-6.729383431903335,-1.4262443867246732,True
default,cross,24000,0.8774913127845575,0.4706730032295793,-7.525048800556311,2.460760815670393,True
default,cross,28000,0.8784781860661017,0.47418408599849804,-7.421046564612532,3.225088086029526,False
default,cross,32000,0.8702609209438076,0.48669716580371447,-8.28702800523291,5.9490592256368435,False
default,cross,36000,0.8674545859590643,0.48799095247590246,-8.582775310057954,6.230703521901915,False
default,cross,40000,0.8545754270819911,0.48647233659446965,-9.940053235542845,5.900116176694703,True
effect_nrmse,train,0,1.019933492515609,0.4636874988436824,0.0,0.0,True
effect_nrmse,train,4000,1.1889007997137149,0.37463049998809633,16.566502466877274,-19.206254013246284,False
effect_nrmse,train,8000,1.1752844296114813,0.35358345092645543,15.231477173350584,-23.74531299459187,True
effect_nrmse,train,12000,1.1854634556008243,0.34931181581355314,16.229485971378878,-24.666544454045635,True
effect_nrmse,train,16000,1.2182064409626794,0.34847450203220415,19.439791898395377,-24.84712162799081,True
effect_nrmse,train,20000,1.2140202303040586,0.34959487415983626,19.029352326664515,-24.605499386626516,False
effect_nrmse,train,24000,1.233056415949205,0.3468067019978512,20.895766733568124,-25.206803534126298,False
effect_nrmse,train,28000,1.2392290819409506,0.3487505794594826,21.500969527381763,-24.787582082937952,False
effect_nrmse,train,32000,1.2314980415351875,0.34434198975399216,20.74297496572708,-25.738349510674176,True
effect_nrmse,train,36000,1.2315006126854442,0.344063418888624,20.743227055718783,-25.798426796790963,True
effect_nrmse,train,40000,1.2356737418449482,0.34471673621743615,21.152384043907404,-25.657530755719915,False
effect_nrmse,cross,0,0.9488962161137494,0.4593690301366515,0.0,0.0,True
effect_nrmse,cross,4000,1.0858672363783235,0.4247237567775169,14.434773575717852,-7.541926226247431,True
effect_nrmse,cross,8000,1.0782137300433587,0.4405032569228425,13.628204194894522,-4.106888356883109,True
effect_nrmse,cross,12000,1.091469314274968,0.4309307510625943,15.025151933383585,-6.190726237160016,False
effect_nrmse,cross,16000,1.1207475519941732,0.4262116928163782,18.11065667268117,-7.218017573019608,False
effect_nrmse,cross,20000,1.1201188971266818,0.39556613424896575,18.044405500338414,-13.889246270848055,True
effect_nrmse,cross,24000,1.1373995485976605,0.3863638703524719,19.86553737730514,-15.892486213635749,False
effect_nrmse,cross,28000,1.14240219047555,0.38519017643785547,20.392743808623635,-16.14798752905252,True
effect_nrmse,cross,32000,1.134833164889621,0.387982617109725,19.595077482486477,-15.540101387699279,False
effect_nrmse,cross,36000,1.1345078468097758,0.38633829980624573,19.560793640447628,-15.898052663384998,True
effect_nrmse,cross,40000,1.1378586437967384,0.38870336308530684,19.91391940173328,-15.38320226557791,False
