objective_id,corpus,step,metric,dataset_id,capability_id,capability_level,baseline,value,absolute_change,relative_change_percent,improved
default,train,0,mase,gift_bitbrains_rnd_h,multi_seasonal,1,1.2914969808348842,1.2914969808348842,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,multi_seasonal,2,1.3556698882286538,1.3556698882286538,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,multi_seasonal,3,1.412287485751458,1.412287485751458,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,multi_seasonal,4,1.449756375273198,1.449756375273198,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,multi_seasonal,5,1.503550061005736,1.503550061005736,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,predictable_intermittency,1,1.4064953731099301,1.4064953731099301,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,predictable_intermittency,2,1.4755715814831682,1.4755715814831682,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,predictable_intermittency,3,1.3977513504283163,1.3977513504283163,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,predictable_intermittency,4,1.3547354848731903,1.3547354848731903,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,predictable_intermittency,5,1.346008240446686,1.346008240446686,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,regime_switching,1,1.1477161713366049,1.1477161713366049,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,regime_switching,2,1.1500646377129444,1.1500646377129444,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,regime_switching,3,1.1475923094374012,1.1475923094374012,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,regime_switching,4,1.1680991094041373,1.1680991094041373,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,regime_switching,5,1.2928158888132073,1.2928158888132073,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,time_varying_seasonality,1,1.036478996439558,1.036478996439558,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,time_varying_seasonality,2,1.069038258575353,1.069038258575353,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,time_varying_seasonality,3,1.1093489765038471,1.1093489765038471,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,time_varying_seasonality,4,1.1372185784207582,1.1372185784207582,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,time_varying_seasonality,5,1.1754048755281297,1.1754048755281297,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,trend,1,0.9593476188958536,0.9593476188958536,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,trend,2,0.9617070310879466,0.9617070310879466,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,trend,3,0.9644407326260057,0.9644407326260057,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,trend,4,0.9677555011775426,0.9677555011775426,0.0,0.0,False
default,train,0,mase,gift_bitbrains_rnd_h,trend,5,0.9734820295942666,0.9734820295942666,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,common_factor,1,0.6959807356238042,0.6959807356238042,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,common_factor,2,0.6753774761115489,0.6753774761115489,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,common_factor,3,0.6537198518302861,0.6537198518302861,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,common_factor,4,0.6458650789851287,0.6458650789851287,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,common_factor,5,0.6477353575140005,0.6477353575140005,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,covariate_impulse_response,1,0.7231902347524248,0.7231902347524248,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,covariate_impulse_response,2,0.7201378822896094,0.7201378822896094,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,covariate_impulse_response,3,0.7132034572825007,0.7132034572825007,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,covariate_impulse_response,4,0.710313253198324,0.710313253198324,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,covariate_impulse_response,5,0.7099998870988586,0.7099998870988586,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,cross_series_dependence,1,0.7366783303082071,0.7366783303082071,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,cross_series_dependence,2,0.7403042099572774,0.7403042099572774,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,cross_series_dependence,3,0.7420330274734551,0.7420330274734551,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,cross_series_dependence,4,0.7509400907919433,0.7509400907919433,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,cross_series_dependence,5,0.7578646962708196,0.7578646962708196,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,multi_seasonal,1,0.7059377233056994,0.7059377233056994,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,multi_seasonal,2,0.6738241239379048,0.6738241239379048,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,multi_seasonal,3,0.7189659217188655,0.7189659217188655,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,multi_seasonal,4,0.7107827431609139,0.7107827431609139,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,multi_seasonal,5,0.7134524851268745,0.7134524851268745,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,predictable_intermittency,1,0.7428110079226029,0.7428110079226029,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,predictable_intermittency,2,0.7362684232728379,0.7362684232728379,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,predictable_intermittency,3,0.7334178333506974,0.7334178333506974,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,predictable_intermittency,4,0.7457503353591276,0.7457503353591276,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,predictable_intermittency,5,0.726977839595845,0.726977839595845,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,regime_switching,1,0.715983600551931,0.715983600551931,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,regime_switching,2,0.7143301898348153,0.7143301898348153,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,regime_switching,3,0.6905819842163168,0.6905819842163168,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,regime_switching,4,0.6815439428128361,0.6815439428128361,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,regime_switching,5,0.6731815880010149,0.6731815880010149,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,time_varying_seasonality,1,0.723269127400755,0.723269127400755,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,time_varying_seasonality,2,0.7193184781443493,0.7193184781443493,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,time_varying_seasonality,3,0.714395765134452,0.714395765134452,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,time_varying_seasonality,4,0.7124571034735169,0.7124571034735169,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,time_varying_seasonality,5,0.7088556554274721,0.7088556554274721,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,trend,1,0.7266455575552073,0.7266455575552073,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,trend,2,0.719666928390036,0.719666928390036,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,trend,3,0.7155650994317141,0.7155650994317141,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,trend,4,0.7095219537162644,0.7095219537162644,0.0,0.0,False
default,train,0,mase,gift_bizitobs_l2c_h,trend,5,0.707023688723268,0.707023688723268,0.0,0.0,False
default,train,0,mase,gift_electricity_h,multi_seasonal,1,1.3781042750934944,1.3781042750934944,0.0,0.0,False
default,train,0,mase,gift_electricity_h,multi_seasonal,2,1.447280108392646,1.447280108392646,0.0,0.0,False
default,train,0,mase,gift_electricity_h,multi_seasonal,3,1.4907753523416274,1.4907753523416274,0.0,0.0,False
default,train,0,mase,gift_electricity_h,multi_seasonal,4,1.534553790823984,1.534553790823984,0.0,0.0,False
default,train,0,mase,gift_electricity_h,multi_seasonal,5,1.5840712523790452,1.5840712523790452,0.0,0.0,False
default,train,0,mase,gift_electricity_h,predictable_intermittency,1,1.7555752581767967,1.7555752581767967,0.0,0.0,False
default,train,0,mase,gift_electricity_h,predictable_intermittency,2,1.7355102550741064,1.7355102550741064,0.0,0.0,False
default,train,0,mase,gift_electricity_h,predictable_intermittency,3,1.7249800616635038,1.7249800616635038,0.0,0.0,False
default,train,0,mase,gift_electricity_h,predictable_intermittency,4,1.605465788215916,1.605465788215916,0.0,0.0,False
default,train,0,mase,gift_electricity_h,predictable_intermittency,5,1.536667909825687,1.536667909825687,0.0,0.0,False
default,train,0,mase,gift_electricity_h,regime_switching,1,1.22014389781164,1.22014389781164,0.0,0.0,False
default,train,0,mase,gift_electricity_h,regime_switching,2,1.220143897845716,1.220143897845716,0.0,0.0,False
default,train,0,mase,gift_electricity_h,regime_switching,3,1.2201438977716998,1.2201438977716998,0.0,0.0,False
default,train,0,mase,gift_electricity_h,regime_switching,4,1.2199549034004047,1.2199549034004047,0.0,0.0,False
default,train,0,mase,gift_electricity_h,regime_switching,5,1.2441156375080595,1.2441156375080595,0.0,0.0,False
default,train,0,mase,gift_electricity_h,time_varying_seasonality,1,1.2974438708114615,1.2974438708114615,0.0,0.0,False
default,train,0,mase,gift_electricity_h,time_varying_seasonality,2,1.3110091692503179,1.3110091692503179,0.0,0.0,False
default,train,0,mase,gift_electricity_h,time_varying_seasonality,3,1.3411824194193125,1.3411824194193125,0.0,0.0,False
default,train,0,mase,gift_electricity_h,time_varying_seasonality,4,1.3837353844967164,1.3837353844967164,0.0,0.0,False
default,train,0,mase,gift_electricity_h,time_varying_seasonality,5,1.424604282437431,1.424604282437431,0.0,0.0,False
default,train,0,mase,gift_electricity_h,trend,1,1.2054908129995414,1.2054908129995414,0.0,0.0,False
default,train,0,mase,gift_electricity_h,trend,2,1.2061046322881825,1.2061046322881825,0.0,0.0,False
default,train,0,mase,gift_electricity_h,trend,3,1.2068142473093042,1.2068142473093042,0.0,0.0,False
