model_id,capability_id,n,mean,sd,cv,median,min,max,range,seed_p025,seed_p975,mean_ci95_low,mean_ci95_high,desired_rate,unanimous_desired_levels,unanimous_undesired_levels,threshold_crossing_levels,median_seed_sd_to_task_se_ratio,max_seed_sd_to_task_se_ratio,task_count_min,task_count_max
Chronos-2,trend,10,0.08943637141573998,0.01120575354503552,0.125293025283262,0.08329872044134104,0.07503544140585475,0.11058366901958241,0.03554822761372767,0.07674598357411658,0.10847066420374442,0.08142025823089631,0.09745248460058366,1.0,5,0,0,0.336196707820422,0.3853727004989894,10,10
Chronos-2,multi_seasonal,10,0.8686747807845887,0.05261748590001245,0.06057213477809065,0.8650170405851898,0.7855330539822872,0.9598701029178954,0.1743370489356082,0.7946127116418158,0.9514909127934832,0.8310344988721527,0.9063150626970247,0.96,4,0,1,0.4457614846721011,0.543828519283154,10,10
Chronos-2,time_varying_seasonality,10,0.4075435627042766,0.01698077231023597,0.04166615268698926,0.40183147560672305,0.38572818328792013,0.4302763599755683,0.044548176687648156,0.38623025782388953,0.43013883202511516,0.3953962499637411,0.4196908754448121,1.0,5,0,0,0.23615589546159896,0.26295774768232727,9,9
Chronos-2,regime_switching,10,0.10372634635081099,0.010675081421334527,0.10291581451476685,0.10515427543163283,0.08655859238774391,0.11713171888024532,0.030573126492501407,0.08676239227344772,0.11638769621107294,0.09608985313445334,0.11136283956716864,1.0,5,0,0,0.2758513713916523,0.5127806352939827,10,10
Chronos-2,predictable_intermittency,10,0.9653744876407251,0.04308548859239054,0.04463085480711946,0.9537523975675524,0.916578789855383,1.042876784150828,0.12629799429544497,0.9176282951152285,1.0372333019969648,0.9345529858298177,0.9961959894516325,0.56,1,1,3,0.785290600030029,1.2420546827734975,10,10
Chronos-2,common_factor,10,0.23942798906313056,0.027008655999314866,0.11280492353879909,0.2317658336395726,0.20059407786046765,0.2921515238981614,0.09155744603769375,0.203522207667686,0.28733590877199316,0.2201071604735233,0.25874881765273783,1.0,5,0,0,0.48803666899062664,0.5489704783505479,4,4
Chronos-2,cross_series_dependence,10,0.9230323116400185,0.04498676347284935,0.04873801589125098,0.9120683729079025,0.8713986042678965,0.9894891511567592,0.11809054688886267,0.8740041012042078,0.9894416320458208,0.8908507197132608,0.9552139035667763,0.86,2,0,3,0.38340359702659366,0.4122027672217215,8,8
Chronos-2,covariate_impulse_response,10,0.6378254233602496,0.10509138481292452,0.16476512375325614,0.6336321838673961,0.45651775010150286,0.8566186370636608,0.40010088696215795,0.4788193468827062,0.8205455377814639,0.5626475754782048,0.7130032712422945,1.0,5,0,0,0.5143505027851191,0.6191983957052523,6,6
timesfm2.5,trend,10,0.30708302016207606,0.03965496690808898,0.1291343522906587,0.3228883745955657,0.23049631472778911,0.3505508052547405,0.12005449052695141,0.23747580500428161,0.34874515635670617,0.27871556572905387,0.33545047459509825,1.0,5,0,0,0.253548696058444,0.2569076354461343,10,10
timesfm2.5,multi_seasonal,10,0.8193600542142949,0.08739745676359036,0.10666550842217709,0.7979511634552434,0.7312312905491659,1.0047672817115347,0.2735359911623688,0.7333751779645648,0.9841144521510136,0.7568396799557692,0.8818804284728207,0.9,2,0,3,0.6859006245018991,0.7598325598286914,10,10
timesfm2.5,time_varying_seasonality,10,0.5814160860140803,0.017308179163796965,0.029769006362472414,0.5799064500545927,0.564300284404707,0.6230721046754195,0.05877182027071248,0.5644818547155449,0.6162253039055394,0.5690345605197937,0.593797611508367,1.0,5,0,0,0.11567015241166294,0.11912304806447517,9,9
timesfm2.5,regime_switching,10,0.09720389784833125,0.00847806941409045,0.0872194387443075,0.09444090069146388,0.0859902403126851,0.11389684407564786,0.027906603762962764,0.08714016937281228,0.1125413246419685,0.09113905234381636,0.10326874335284614,1.0,5,0,0,0.26879910302914045,0.45850381359742043,10,10
timesfm2.5,predictable_intermittency,10,0.8778124681270633,0.027825184315908986,0.03169832433034124,0.8785866411533665,0.8157493086572571,0.9160129981446359,0.10026368948737874,0.8268013818327944,0.9136431577945531,0.8579075303672745,0.897717405886852,0.78,3,1,1,1.0135275478388437,1.4092624279296873,10,10
timesfm2.5,common_factor,10,0.3344185144915078,0.016274038809546323,0.04866368967128339,0.3352559816199649,0.30941482314704505,0.36071851312184905,0.051303689974804,0.30977004149586446,0.358154311647621,0.32277676844135866,0.3460602605416569,1.0,5,0,0,0.15475093100980203,0.20267932582951895,4,4
timesfm2.5,cross_series_dependence,10,1.0817251479011385,0.05980498368053942,0.05528667221667028,1.06222028817291,1.0133094652289645,1.186692823981518,0.1733833587525535,1.014419702226752,1.1826994820723014,1.0389432398148837,1.1245070559873933,0.32,0,2,3,0.4097486262505017,0.44820971296594864,8,8
timesfm2.5,covariate_impulse_response,10,0.4063982009042256,0.055649865336183726,0.13693432995609772,0.3847990273045064,0.3356842111443813,0.49491714608166715,0.15923293493728585,0.3392175095784268,0.4942644437487762,0.3665886854206559,0.44620771638779533,1.0,5,0,0,0.6081089570342171,0.6511668563157138,6,6
Timer-3.5,trend,10,0.30885165042282225,0.014902146854814995,0.04825017717863494,0.3148120250088625,0.2757077961822,0.32459514068853035,0.048887344506330366,0.2788184009871008,0.3230668216121417,0.29819129675671097,0.31951200408893354,1.0,5,0,0,0.12819324824970676,0.19072454034665212,10,10
Timer-3.5,multi_seasonal,10,0.8444330120073081,0.014279358041858467,0.016909995036687275,0.8419002672651921,0.8251534971114044,0.874636667459993,0.04948317034858862,0.8269250975178069,0.8704634157953259,0.8342181746194953,0.854647849395121,1.0,5,0,0,0.21610955847531282,0.25128938707976,10,10
Timer-3.5,time_varying_seasonality,10,0.5229782493703219,0.018943604811711156,0.03622254813564369,0.5124806729043183,0.5062737558844205,0.5577133600902815,0.05143960420586102,0.5064420064696226,0.5560418493137409,0.5094268108446279,0.5365296878960158,1.0,5,0,0,0.203536660114553,0.2547735348338341,9,9
