capability_id,capability_level,n,mean,sd,cv,median,min,max,range,seed_p025,seed_p975,mean_ci95_low,mean_ci95_high,desired_rate
trend,1,10,0.4392904599930566,0.04549999409414586,0.10357610337102478,0.4274215689304161,0.39387242052547233,0.5456924209751011,0.15182000044962873,0.3941322682891215,0.5281510593182742,0.4067417249970081,0.4718391949891051,1.0
trend,2,10,0.35536161422775775,0.033585335935827874,0.09451030891114318,0.33996641504287073,0.3192898156315963,0.4196330293988667,0.1003432137672704,0.3200895494368901,0.4149940714359845,0.3313361122273262,0.3793871162281893,1.0
trend,3,10,0.2942096659189165,0.022227710025325007,0.07555057702098378,0.289083898372453,0.2684908828103496,0.33806226502593006,0.06957138221558046,0.26880282993107607,0.33329052101787665,0.27830892004878904,0.31011041178904397,1.0
trend,4,10,0.24363450602037648,0.01465051663882072,0.06013317603539877,0.24169635710409715,0.22726145708121198,0.26669106388095826,0.039429606799746275,0.22726580878757982,0.2664092969731318,0.233154157767023,0.25411485427372993,1.0
trend,5,10,0.20061496710969484,0.009662402025147319,0.048163914010782585,0.2014697773817561,0.18435886116874337,0.21680314411914645,0.03244428295040308,0.18578086533674948,0.21596785974658098,0.1937029010929156,0.20752703312647408,1.0
multi_seasonal,1,10,0.7894379540825871,0.026217389256190264,0.033210196090277574,0.7779511849859615,0.7644186899423561,0.8435478637588621,0.07912917381650608,0.7651220268671908,0.8372406827499294,0.7706831636221246,0.8081927445430496,0.9428571428571428
multi_seasonal,2,10,0.8472350882691906,0.03842965260373483,0.04535890113125796,0.8485401825252115,0.7840594715196809,0.9125473490738424,0.12848787755416147,0.7913142230817983,0.9080627207190477,0.8197441708857506,0.8747260056526306,0.8571428571428571
multi_seasonal,3,10,0.906390483513744,0.04266944514384037,0.047076228093687125,0.9067079787519202,0.8357862042599473,0.9954637036262101,0.15967749936626274,0.8426840973990657,0.9802133191300617,0.8758666012569333,0.9369143657705546,0.7714285714285715
multi_seasonal,4,10,0.9408345161785749,0.0365556555130024,0.03885450085471137,0.9437268232134235,0.8928588502480655,1.0187641859835403,0.1259053357354748,0.8945972414002311,1.0065591844151336,0.9146841755557255,0.9669848568014244,0.6857142857142857
multi_seasonal,5,10,0.971397270792284,0.03448148893292995,0.03549679412297135,0.9707108282025396,0.9292682501487136,1.050334843491221,0.12106659334250736,0.9297515494117358,1.0382218911807837,0.9467306995565854,0.9960638420279826,0.5714285714285714
time_varying_seasonality,1,10,0.7683825135665303,0.027363414513342725,0.035611709051436485,0.765893014005208,0.7340414265787454,0.8153924179087962,0.08135099133005086,0.7350234151677145,0.8108857329742724,0.7488079060239677,0.7879571211090929,0.9142857142857143
time_varying_seasonality,2,10,0.6029814738484649,0.01987917413507831,0.032968134175336436,0.6008483496042162,0.5759255373946311,0.6325212478283121,0.056595710433680946,0.5780317629455972,0.6310145903202775,0.5887607693463028,0.617202178350627,1.0
time_varying_seasonality,3,10,0.4897434942397402,0.01753911138317978,0.03581285221645844,0.4847179247436696,0.47107129750163745,0.5181860657081458,0.047114768206508395,0.4714881939620428,0.5165342571281649,0.47719676978751113,0.5022902186919692,1.0
time_varying_seasonality,4,10,0.40399111754941314,0.014896754066936507,0.03687396435173961,0.3987205298094017,0.38895527150037335,0.4286492691602542,0.03969399765988085,0.38911501767370704,0.4269880936154091,0.393334621651353,0.41464761344747325,1.0
time_varying_seasonality,5,10,0.34000839426681484,0.011690638944956573,0.03438338329900931,0.33613252965487406,0.3274769325175036,0.35726664627876453,0.02978971376126094,0.32776449110032363,0.3564453441834899,0.3316454149625421,0.3483713735710876,1.0
regime_switching,1,10,0.09813498276151912,0.011610668993994199,0.11831325249436939,0.09471377986753463,0.08273280736947901,0.12132343026710075,0.038590622897621746,0.083679967034151,0.1186085396478307,0.08982921051393597,0.10644075500910227,1.0
regime_switching,2,10,0.11108051419880341,0.009314110643580752,0.08385008577572002,0.1107735377084089,0.09762610732683696,0.13007961622392564,0.03245350889708867,0.09839821172929211,0.1279479701486879,0.10441760082711156,0.11774342757049526,1.0
regime_switching,3,10,0.12206267339369185,0.011245830115551754,0.09213160586185337,0.12381065777009635,0.1083832579465488,0.13845489446409756,0.030071636517548767,0.10842994593232497,0.13752011954005955,0.1140178911573625,0.1301074556300212,1.0
regime_switching,4,10,0.13542610759010618,0.0131398032309131,0.09702562869696665,0.13821248649957144,0.118509868234185,0.15304249712801482,0.034532628893829825,0.11883181680469804,0.15271476400672285,0.12602645860601458,0.14482575657419777,1.0
regime_switching,5,10,0.1739275596648348,0.012950456596668977,0.0744589104890853,0.17584034439510776,0.15838246657770566,0.1955867235675158,0.03720425698981014,0.15840781489924163,0.1933598922848888,0.16466336110316862,0.183191758226501,1.0
predictable_intermittency,1,10,0.6721036475607115,0.041111758582857205,0.06116877766110257,0.6808808182358779,0.5845854908390875,0.726679462101891,0.14209397126280354,0.5959401977691445,0.7220292896002914,0.6426940671426097,0.7015132279788133,1.0
predictable_intermittency,2,10,0.9390652221591452,0.03844941672288616,0.04094435169740538,0.9390952878508821,0.8863814392501131,1.0159163865804657,0.12953494733035253,0.8870038959446824,1.006540295474911,0.9115601663765803,0.9665702779417101,0.7142857142857143
predictable_intermittency,3,10,1.05581242097545,0.04966555767797835,0.04704013392084652,1.050781066558646,0.9786986935669961,1.172290650516956,0.1935919569499598,0.9895171593512997,1.1508548954489193,1.0202838213025225,1.0913410206483776,0.4
predictable_intermittency,4,10,1.1147275093694866,0.043863355915266015,0.03934894900016961,1.1132101870505013,1.0347086958849683,1.1809482733803465,0.1462395774953782,1.0442358730223646,1.1775406839673102,1.0833495547972454,1.1461054639417279,0.2
predictable_intermittency,5,10,1.2460547424391082,0.056056332064329945,0.04498705406361333,1.2442232097653037,1.1504056241315201,1.3479154449032467,0.19750982077172652,1.158099506594304,1.339686833535336,1.2059544581745192,1.2861550267036972,0.0
common_factor,1,10,0.4074954006431565,0.031717750088893666,0.0778358480582432,0.41470573683827167,0.35339556236552344,0.4447634087668314,0.09136784640130796,0.3536505039023288,0.4440378470127938,0.3848058890757886,0.43018491221052435,1.0
common_factor,2,10,0.3624618114574597,0.023841882391780263,0.06577763956956459,0.37343398727755517,0.3210525315273712,0.3870042999042603,0.0659517683768891,0.3214975881587295,0.38596214573724935,0.34540635623759064,0.37951726667732877,1.0
common_factor,3,10,0.30853971290370913,0.020776952592581454,0.06733963805516875,0.31506589477345737,0.2697521257855325,0.330502294986513,0.06075016920098053,0.27085240247121306,0.3299619920150168,0.2936767763819568,0.3234026494254615,1.0
common_factor,4,10,0.26040377310929747,0.01535390192336073,0.05896190266381564,0.2620850077892098,0.23254938722075122,0.2843387509592977,0.05178936373854651,0.23424070157393242,0.2821747509728051,0.2494202533351029,0.27138729288349206,1.0
common_factor,5,10,0.2180227614554358,0.009160423329289232,0.04201590360629221,0.21972283860260286,0.19859927850969625,0.2278577916250181,0.02925851311532185,0.2006099930284273,0.22760226036861714,0.2114697893653797,0.22457573354549193,1.0
cross_series_dependence,1,10,1.0418773768924954,0.03822169376251057,0.03668540522159204,1.031562481167939,1.0061091960955069,1.1182166311959987,0.11210743510049181,1.006487044969996,1.111010136893146,1.0145352243022792,1.0692195294827116,0.6142857142857143
cross_series_dependence,2,10,1.0274237127085586,0.03320058669810815,0.032314405719313884,1.0273216464278554,0.978752939456974,1.0900928941479935,0.11133995469101954,0.9821256502229445,1.0855277369814593,1.0036734437323898,1.0511739816847274,0.6428571428571429
cross_series_dependence,3,10,1.0403065956187434,0.06941422479385072,0.06672477622096129,1.0233390052349265,0.9571458774946241,1.1644908792907067,0.20734500179608262,0.9582387142869543,1.1584222987555248,0.990650650541118,1.0899625406963687,0.5428571428571428
cross_series_dependence,4,10,1.0318923071938984,0.06350470599671924,0.061541989947974635,1.014611538378227,0.9554261102018946,1.1461626597993448,0.19073654959745023,0.9596348661428291,1.1383517463614703,0.9864637771986575,1.0773208371891392,0.6142857142857143
cross_series_dependence,5,10,1.025705387257283,0.05943469641599028,0.05794519279548443,1.0133760162314853,0.9375097237119042,1.126835449935212,0.1893257262233078,0.947857540053204,1.1256833284165135,0.9831883667229098,1.0682224077916562,0.6142857142857143
covariate_impulse_response,1,10,1.0140084770783013,0.04376023617795629,0.04315569067434644,1.0096132667152238,0.9736810251316005,1.1085618842570863,0.13488085912548586,0.9740747324666195,1.0975986332069823,0.9827042899222846,1.045312664234318,0.5857142857142857
covariate_impulse_response,2,10,0.7522932148050152,0.04588055330183222,0.06098759419719594,0.7474187605616527,0.6785985127964579,0.8530025051722266,0.17440399237576876,0.6886751900222849,0.8391902712765947,0.7194722441516245,0.7851141854584059,0.8714285714285714
covariate_impulse_response,3,10,0.5975186643980476,0.03432775808696027,0.05745052018005622,0.593711335703253,0.5521496561988057,0.6792299102587014,0.12708025405989565,0.5553180852768661,0.6648315731198058,0.5729620655846713,0.6220752632114238,1.0
covariate_impulse_response,4,10,0.4781611520635046,0.022195468918990317,0.04641838598390054,0.4716394950735754,0.45354027226533994,0.512957153356626,0.05941688109128601,0.45382909148021566,0.5121106018417968,0.4622834700914492,0.49403883403556004,1.0
covariate_impulse_response,5,10,0.38666615621669287,0.01729086566524133,0.04471781506409187,0.38601783387663935,0.3581873724216754,0.41148631888233717,0.053298946460661745,0.3605439829555013,0.4107865171072245,0.3742970160531643,0.39903529638022145,1.0
