seed,model_id,macro_effect_nrmse,macro_input_ablation_degradation,official_mase,effect_rank
2026082701,Chronos-2,0.5310078150339639,0.013379659083976833,2.5096070380482187,1.0
2026082701,timesfm2.5,0.577648075269886,3.5001573441849864e-08,2.3412086184441017,2.0
2026082701,Timer-3.5,0.5810826254502488,0.0002233585600559429,2.4753311369522186,3.0
2026082701,tirex2,0.6367098413391814,-0.0003170794128238775,2.3348074286250817,4.0
2026082701,moirai2,0.647695202575565,2.3181117735319688e-09,2.7184513388292633,5.0
2026082701,toto2.0,0.6664926010819217,0.012541230065629327,2.2879145053630188,6.0
2026082702,Chronos-2,0.5551983368900252,0.010714218483738639,2.5096070380482187,1.0
2026082702,timesfm2.5,0.5765979681627807,2.7079583495830457e-08,2.3412086184441017,3.0
2026082702,Timer-3.5,0.5756603542389589,0.00019940976689085808,2.4754086024046087,2.0
2026082702,tirex2,0.6489744274067571,-0.0005519528465953801,2.3348074286250817,5.0
2026082702,moirai2,0.6358487952664313,-5.259139239515594e-09,2.7184513388292633,4.0
2026082702,toto2.0,0.7114743445719582,0.01128999627223879,2.287914516536074,6.0
2026082703,Chronos-2,0.5203971508282332,0.008118604502474832,2.5096070380482187,1.0
2026082703,timesfm2.5,0.548398035408964,-2.0368624032489124e-08,2.3412086184441017,2.0
2026082703,Timer-3.5,0.5543492244549807,-6.916115918317575e-05,2.4743993387553873,3.0
2026082703,tirex2,0.6027167086030896,0.0004995923360914409,2.3348074286250817,4.0
2026082703,moirai2,0.6274905444179067,1.1359657303778714e-09,2.7184513388292633,5.0
2026082703,toto2.0,0.6627328756357047,0.0060472874232912555,2.2879145480139615,6.0
2026082704,Chronos-2,0.5533714269444763,0.0089368583187425,2.5096070380482187,1.0
2026082704,timesfm2.5,0.5725090164305505,-8.817418759771285e-09,2.3412086184441017,2.0
2026082704,Timer-3.5,0.5864163384736433,-0.0003565564038901939,2.4751700381565036,3.0
2026082704,tirex2,0.6592472858272275,-0.00048609619164145893,2.3348074286250817,5.0
2026082704,moirai2,0.6367638758490505,9.820147358651508e-10,2.7184513388292633,4.0
2026082704,toto2.0,0.6958256428407585,0.012326974325684794,2.287914553928088,6.0
2026082705,Chronos-2,0.5231249249004999,0.012965158260325366,2.5096070380482187,1.0
2026082705,timesfm2.5,0.5491731856581791,4.061991263870017e-08,2.3412086184441017,2.0
2026082705,Timer-3.5,0.5587815416451068,-0.00011891580391390076,2.4781699188555963,3.0
2026082705,tirex2,0.5956236337963683,8.36279278925138e-05,2.3348074286250817,4.0
2026082705,moirai2,0.6371724145294457,7.225111458328426e-12,2.7184513388292633,5.0
2026082705,toto2.0,0.6651064651778283,0.01243475850095637,2.2879146205065055,6.0
2026082706,Chronos-2,0.5116857522041443,0.005588046972887017,2.5096070380482187,1.0
2026082706,timesfm2.5,0.5498225201109586,1.678488245540259e-08,2.3412086184441017,2.0
2026082706,Timer-3.5,0.5550623621364575,0.0002306791863624936,2.4797922036612805,3.0
2026082706,tirex2,0.6345141217271968,-6.181881790633578e-05,2.3348074286250817,4.0
2026082706,moirai2,0.6353275899636237,-5.129225491480729e-09,2.7184513388292633,5.0
2026082706,toto2.0,0.691176198861202,0.013863906543991743,2.287914487622639,6.0
2026082707,Chronos-2,0.5097394051448624,0.01025024939279599,2.5096070380482187,1.0
2026082707,timesfm2.5,0.5554601419671876,4.985021499804473e-08,2.3412086184441017,2.0
2026082707,Timer-3.5,0.5711011287726468,9.939244021418192e-05,2.4756670128092617,3.0
2026082707,tirex2,0.6320428113990052,0.0005890092385178709,2.3348074286250817,4.0
2026082707,moirai2,0.6389686837181979,8.924957225551781e-10,2.7184513388292633,6.0
2026082707,toto2.0,0.6324331102884974,0.024813747961618046,2.28791468237778,5.0
2026082708,Chronos-2,0.49893196025092446,0.009476584592236457,2.5096070380482187,1.0
2026082708,timesfm2.5,0.5584705783599186,-3.882582756598249e-08,2.3412086184441017,3.0
2026082708,Timer-3.5,0.5576323876213126,0.0007687995766440462,2.4774102560597187,2.0
2026082708,tirex2,0.6034611472442639,0.0007131136843879888,2.3348074286250817,4.0
2026082708,moirai2,0.6332512255289916,5.8248687590010556e-09,2.7184513388292633,5.0
2026082708,toto2.0,0.6697428093896773,0.0114001563737721,2.287914588199932,6.0
2026082709,Chronos-2,0.5457918814125495,0.010897685203045565,2.5096070380482187,1.0
2026082709,timesfm2.5,0.5677999263123199,7.001101674483217e-08,2.3412086184441017,2.0
2026082709,Timer-3.5,0.5715218772681789,0.00014447413162869933,2.4763893998903486,3.0
2026082709,tirex2,0.6491464344770013,0.0005955050232683447,2.3348074286250817,6.0
2026082709,moirai2,0.6327912979582242,-1.5071891774730713e-09,2.7184513388292633,4.0
2026082709,toto2.0,0.6387453024958101,0.01315116410297019,2.2879147416240886,5.0
2026082710,Chronos-2,0.544552937589746,0.005262784855622145,2.5096070380482187,1.0
2026082710,timesfm2.5,0.5758922893976518,-1.9677221475076622e-08,2.3412086184441017,3.0
2026082710,Timer-3.5,0.5701926444729811,0.0007005228085184556,2.4794207534465316,2.0
2026082710,tirex2,0.6331115238758749,0.0009017354524916025,2.3348074286250817,4.0
2026082710,moirai2,0.6588878460247108,1.895299951694746e-09,2.7184513388292633,5.0
2026082710,toto2.0,0.6732997683188695,0.016297232424648336,2.2879146406363433,6.0
