model_id,effect_n,effect_mean,effect_sd,effect_cv,effect_median,effect_min,effect_max,effect_range,effect_seed_p025,effect_seed_p975,effect_mean_ci95_low,effect_mean_ci95_high,rank_mean,rank_sd,rank_min,rank_max,top1_count,effect_desired_rate,effect_unanimous_desired_cells,effect_unanimous_undesired_cells,effect_threshold_crossing_cells,effect_seed_ci_below_1_cells,official_n,official_mean,official_sd,official_cv,official_median,official_min,official_max,official_range,official_seed_p025,official_seed_p975,official_mean_ci95_low,official_mean_ci95_high,ablation_n,ablation_mean,ablation_sd,ablation_cv,ablation_median,ablation_min,ablation_max,ablation_range,ablation_seed_p025,ablation_seed_p975,ablation_mean_ci95_low,ablation_mean_ci95_high,ablation_desired_rate,ablation_unanimous_cells
Chronos-2,10,0.5293801591199425,0.01969244862140953,0.03719906815953746,0.5270663699672319,0.49893196025092446,0.5551983368900252,0.056266376639100724,0.5013636353520605,0.5547872821522767,0.515293030003501,0.543467288236384,1.0,0.0,1.0,1.0,10,0.9225,32,1,7,36,10,2.5096070380482187,0.0,0.0,2.5096070380482187,2.5096070380482187,2.5096070380482187,0.0,2.5096070380482187,2.5096070380482187,2.5096070380482187,2.5096070380482187,10,0.009558984966584534,0.002718216485119275,0.28436246051451897,0.009863416992516224,0.005262784855622145,0.013379659083976833,0.008116874228354689,0.005335968832006741,0.013286396398655254,0.007614490032080334,0.011503479901088735,0.78,5
timesfm2.5,10,0.5631771737078397,0.012175740974803053,0.02161973450493482,0.5631352523361193,0.548398035408964,0.577648075269886,0.029250039860922006,0.5485724442150374,0.5774118011707874,0.5544671733164246,0.5718871740992548,2.3,0.48304589153964794,2.0,3.0,0,0.875,30,3,7,33,10,2.3412086184441017,0.0,0.0,2.3412086184441017,2.3412086184441017,2.3412086184441017,0.0,2.3412086184441017,2.3412086184441017,2.3412086184441017,2.3412086184441017,10,1.5165809194134046e-08,3.553395548724019e-08,2.3430306310977658,2.193223297561652e-08,-3.882582756598249e-08,7.001101674483217e-08,1.0883684431081466e-07,-3.467295677094649e-08,6.5474836351805e-08,-1.0253651259474526e-08,4.058526964774262e-08,0.34,5
Timer-3.5,10,0.5681800484534516,0.011262993880371375,0.019822930972371342,0.570646886622814,0.5543492244549807,0.5864163384736433,0.03206711401866258,0.554509680433313,0.5852162530433795,0.5601229879994264,0.5762371089074768,2.7,0.48304589153964794,2.0,3.0,0,0.9,32,2,6,32,10,2.4767158660991457,0.0018846067890311298,0.0007609297517035758,2.476028206349805,2.4743993387553873,2.4797922036612805,0.005392864905893191,2.4745727461206384,2.479708627362962,2.4753676996176073,2.478064032580684,10,0.00018220031033274072,0.0003447204966585289,1.8919863310275817,0.0001719419492597787,-0.0003565564038901939,0.0007687995766440462,0.0011253559805342401,-0.000303087268895528,0.0007534373038157883,-6.439787757533852e-05,0.00042879849824081995,0.5266666666666666,0
tirex2,10,0.6295547935695966,0.021831968564499777,0.03467842479716783,0.6338128228015358,0.5956236337963683,0.6592472858272275,0.06362365203085918,0.5972195756278805,0.6569745942734265,0.6139371440864423,0.645172443052751,4.4,0.699205898780101,4.0,6.0,0,0.825,29,4,7,32,10,2.3348074286250817,0.0,0.0,2.3348074286250817,2.3348074286250817,2.3348074286250817,0.0,2.3348074286250817,2.3348074286250817,2.3348074286250817,2.3348074286250817,10,0.00019656363936827091,0.0005311132889197022,2.7019915312243348,0.00029161013199197733,-0.0005519528465953801,0.0009017354524916025,0.0014536882990869827,-0.0005371350992307479,0.0008592955546682895,-0.00018337191970362184,0.0005764991984401637,0.5866666666666667,3
moirai2,10,0.6384197475832147,0.008841744314754265,0.013849421713888617,0.636306335557741,0.6274905444179067,0.6588878460247108,0.031397301606804096,0.6286832139644781,0.656369501248653,0.6320947447269883,0.6447447504394411,4.8,0.6324555320336759,4.0,6.0,0,0.775,28,7,5,28,10,2.7184513388292633,0.0,0.0,2.7184513388292633,2.7184513388292633,2.7184513388292633,0.0,2.7184513388292633,2.7184513388292633,2.7184513388292633,2.7184513388292633,10,1.1604278760149052e-10,3.36733873942596e-09,29.01807866758544,9.372552292101645e-10,-5.259139239515594e-09,5.8248687590010556e-09,1.108400799851665e-08,-5.229908646207749e-09,5.035848437270513e-09,-2.292806234328499e-09,2.5248918095314795e-09,0.18666666666666668,10
toto2.0,10,0.6707029118662228,0.02430984527694192,0.036245325384528404,0.6681177052357995,0.6324331102884974,0.7114743445719582,0.07904123428346088,0.6338533535351427,0.7079533866824383,0.6533126961647239,0.6880931275677217,5.8,0.4216370213557839,5.0,6.0,0,0.7575,29,9,2,30,10,2.287914588480843,8.239732180550514e-08,3.601415989056493e-08,2.28791457106401,2.287914487622639,2.2879147416240886,2.540014496510423e-07,2.287914491614224,2.287914728293669,2.2879145295373498,2.287914647424336,10,0.013416645399480096,0.00476417638552283,0.3550944549602127,0.01248799428329285,0.0060472874232912555,0.024813747961618046,0.01876646053832679,0.007226896914304451,0.022897531965799866,0.010008558920920176,0.016824731878040018,0.7733333333333333,7
