metric,model_id,capability_id,capability_level,n,mean,sd,cv,median,min,max,range,seed_p025,seed_p975,mean_ci95_low,mean_ci95_high,desired_count,desired_rate,direction_category,direction_unanimous,seed_mean_ci_relation_to_0
input_ablation_mase_degradation,Chronos-2,common_factor,1,10,0.019910935548136936,0.009238296043852588,0.46398101292216853,0.02048312774499856,0.003989083123017271,0.03263324700003489,0.028644163877017622,0.004943817692788246,0.032593161779583664,0.01330225667393266,0.026519614422341214,10,1.0,unanimous_desired,True,above
input_ablation_mase_degradation,Chronos-2,common_factor,2,10,0.021367745626184702,0.007840279652534744,0.366921236788172,0.022806159587779387,0.009491167553846071,0.03341222745706465,0.02392105990321858,0.010123147250801332,0.03233421198150897,0.01575914743214454,0.026976343820224864,10,1.0,unanimous_desired,True,above
input_ablation_mase_degradation,Chronos-2,common_factor,3,10,0.02801333459521656,0.010921588778728104,0.38987107163575696,0.027414512195892284,0.013415280726273135,0.051099431925773285,0.03768415119950015,0.01369021160787882,0.04746261829037,0.02020050063837929,0.03582616855205383,10,1.0,unanimous_desired,True,above
input_ablation_mase_degradation,Chronos-2,common_factor,4,10,0.031073966305229773,0.014150099093756795,0.45536829623759106,0.027517199497100138,0.011425331357808759,0.05687243624686121,0.04544710488905245,0.013164845992038585,0.05500549519451536,0.020951595198597614,0.04119633741186193,10,1.0,unanimous_desired,True,above
input_ablation_mase_degradation,Chronos-2,common_factor,5,10,0.02881928412947245,0.010928758293338805,0.37921685508358466,0.025391030991329416,0.013905965659082607,0.04537205359239007,0.03146608793330746,0.015115777278936895,0.04508004919581799,0.02100132141084609,0.03663724684809881,10,1.0,unanimous_desired,True,above
input_ablation_mase_degradation,Chronos-2,covariate_impulse_response,1,10,0.0010520998462790758,0.001304895925802657,1.2402776508499986,0.0010394293055298598,-0.0012320230786491283,0.002653866422573818,0.003885889501222946,-0.001013547419072221,0.002625104763011306,0.0001186335342067699,0.0019855661583513817,8,0.8,crosses_threshold,False,above
input_ablation_mase_degradation,Chronos-2,covariate_impulse_response,2,10,0.0003498387815161545,0.0012229889033106654,3.4958642892888974,0.00022670673417999498,-0.001692584465692956,0.001928106479997871,0.003620690945690827,-0.0014780527345968802,0.001906435604203336,-0.0005250347763704925,0.0012247123394028016,5,0.5,crosses_threshold,False,includes
input_ablation_mase_degradation,Chronos-2,covariate_impulse_response,3,10,8.480221208595628e-05,0.0014692171200037076,17.325221640615883,-0.0003142960153256595,-0.0015081905077156989,0.0030637074761301515,0.00457189798384585,-0.0014851310400836382,0.0027147020232618575,-0.000966212401052445,0.0011358168252243576,4,0.4,crosses_threshold,False,includes
input_ablation_mase_degradation,Chronos-2,covariate_impulse_response,4,10,0.0014746290242539186,0.0020703761942940458,1.4039979955918354,0.001626536517579693,-0.002713892507049133,0.004899091353548038,0.00761298386059717,-0.002139603426792788,0.004577139600649931,-6.428884254131451e-06,0.0029556869327619687,8,0.8,crosses_threshold,False,includes
input_ablation_mase_degradation,Chronos-2,covariate_impulse_response,5,10,0.00121670631634406,0.0018824092515703841,1.5471352669776695,0.001656314688725023,-0.001656145167461756,0.0031953732778458046,0.004851518445307561,-0.0015309651134570528,0.0031714798689065505,-0.00012988814159582717,0.002563300774283947,7,0.7,crosses_threshold,False,includes
input_ablation_mase_degradation,Chronos-2,cross_series_dependence,1,10,0.0030017422623671544,0.003103431317781126,1.033876677784381,0.0027992809615851686,-0.0028950439674126824,0.008124924284618994,0.011019968252031677,-0.0021188850131568728,0.0076425688140910174,0.0007816812370429341,0.005221803287691375,9,0.9,crosses_threshold,False,above
input_ablation_mase_degradation,Chronos-2,cross_series_dependence,2,10,0.004071752322224424,0.002396020510553021,0.5884494735780147,0.0043321494031566075,-0.0005831759901533565,0.007497903318947735,0.008081079309101092,-5.340581940086332e-05,0.007429887574550997,0.0023577425031963122,0.0057857621412525356,9,0.9,crosses_threshold,False,above
input_ablation_mase_degradation,Chronos-2,cross_series_dependence,3,10,0.0035203664954407904,0.0027717917014805785,0.7873588460378521,0.0032532345391152523,-0.00019419547650050917,0.007854304608333525,0.008048500084834034,-3.407269039269907e-05,0.007477807139645058,0.001537546159924628,0.005503186830956953,9,0.9,crosses_threshold,False,above
input_ablation_mase_degradation,Chronos-2,cross_series_dependence,4,10,0.00022917298252854678,0.00329419507832784,14.374273275941245,-0.0002068240619143117,-0.0048387187908189465,0.005600130236837942,0.010438849027656887,-0.004279039851509595,0.005542857656762411,-0.0021273522163082477,0.0025856981813653416,5,0.5,crosses_threshold,False,includes
input_ablation_mase_degradation,Chronos-2,cross_series_dependence,5,10,-0.0008016019485124822,0.003291532701588357,4.106193488796269,-0.0020385889102204286,-0.004999581329914475,0.005332009586222585,0.01033159091613706,-0.004716475986040683,0.004753494472810542,-0.0031562225977624404,0.0015530187007374758,3,0.3,crosses_threshold,False,includes
input_ablation_mase_degradation,Timer-3.5,common_factor,1,10,-0.00034641138179212605,0.0007889746163105299,2.277565512509564,-9.741073399487484e-05,-0.001762650451884262,0.0003957052985891747,0.0021583557504734367,-0.0017111164456503345,0.0003935036499969262,-0.0009108098221911445,0.00021798705860689245,4,0.4,crosses_threshold,False,includes
input_ablation_mase_degradation,Timer-3.5,common_factor,2,10,0.00011957841977533378,0.00039548312241600205,3.307311830671816,0.0001333214775524288,-0.0004897316167411698,0.0006106832038028284,0.0011004148205439983,-0.00043928559277207544,0.0006072061988936483,-0.00016333316303263981,0.0004024900025833074,5,0.5,crosses_threshold,False,includes
input_ablation_mase_degradation,Timer-3.5,common_factor,3,10,7.509118723708807e-05,0.001326230740590646,17.661603037428222,5.487021402100021e-05,-0.0021220893869355263,0.0021660342887560914,0.004288123675691618,-0.001967003100596165,0.00198988714227994,-0.0008736371319310248,0.001023819506405201,5,0.5,crosses_threshold,False,includes
input_ablation_mase_degradation,Timer-3.5,common_factor,4,10,-4.611026066586213e-05,0.0004813024039291226,10.4380759722197,-7.959181326426879e-05,-0.0007294631514766687,0.0008610494378132921,0.0015905125892899609,-0.0006601547728393223,0.00079337427500597,-0.00039041325916813437,0.0002981927378364101,3,0.3,crosses_threshold,False,includes
input_ablation_mase_degradation,Timer-3.5,common_factor,5,10,0.00012379221506829389,0.0005932142786512771,4.792016027211498,7.955531166561953e-05,-0.0007521859464423578,0.0012825806689014516,0.0020347666153438092,-0.0006640391205429753,0.0011642115681099767,-0.0003005677158745706,0.0005481521460111585,5,0.5,crosses_threshold,False,includes
input_ablation_mase_degradation,Timer-3.5,covariate_impulse_response,1,10,0.0009793057258845048,0.0019466860281448816,1.987822573371194,0.00030705894209110806,-0.001132936160264979,0.005613001172352809,0.006745937332617788,-0.0009640950234071667,0.004979949461412933,-0.0004132695680703195,0.002371881019839329,7,0.7,crosses_threshold,False,includes
input_ablation_mase_degradation,Timer-3.5,covariate_impulse_response,2,10,-0.0011301952845882252,0.004341487222804479,3.8413602339406805,-0.0008958361383163248,-0.011172972684668934,0.00499660398045851,0.016169576665127444,-0.009307359903035535,0.004327810483087804,-0.004235908151526262,0.001975517582349812,5,0.5,crosses_threshold,False,includes
input_ablation_mase_degradation,Timer-3.5,covariate_impulse_response,3,10,0.002208835503725858,0.004455274945671195,2.0170243271425368,0.0012341856472318424,-0.004681353890733164,0.01049335368051013,0.015174707571243295,-0.003929325242025914,0.0097727425310536,-0.0009782761965775027,0.005395947204029219,6,0.6,crosses_threshold,False,includes
input_ablation_mase_degradation,Timer-3.5,covariate_impulse_response,4,10,-0.0006608564279471318,0.004713400326231928,7.132260695221683,0.0009303754479715305,-0.008556001167860814,0.005244912118706781,0.013800913286567596,-0.008050809762124434,0.004912452373111125,-0.004032619901836248,0.002710907045941985,6,0.6,crosses_threshold,False,includes
input_ablation_mase_degradation,Timer-3.5,covariate_impulse_response,5,10,0.0010693039478409249,0.004139254055533461,3.8709798686250037,0.0013059462946211505,-0.004316322294488166,0.009916572028490276,0.014232894322978442,-0.004064675839654806,0.008606533647778858,-0.0018917400262771283,0.004030347921958978,6,0.6,crosses_threshold,False,includes
input_ablation_mase_degradation,Timer-3.5,cross_series_dependence,1,10,0.00017314253361694402,0.00044346170875279986,2.561252278622091,0.00018285806636222538,-0.00036997616907227836,0.0009413009317680754,0.0013112771008403539,-0.0003536967873739698,0.0009009462919027371,-0.0001440908622648996,0.0004903759294987877,6,0.6,crosses_threshold,False,includes
input_ablation_mase_degradation,Timer-3.5,cross_series_dependence,2,10,-0.0005090798097304735,0.000716521906725464,1.4074844317727282,-0.0005178328394140005,-0.0018353399577752817,0.00039300075102007763,0.0022283407087953593,-0.0016995470125911172,0.0003917405479163518,-0.001021648703972839,3.4890845118920252e-06,3,0.3,crosses_threshold,False,includes
