capability_id,n,mean,sd,cv,median,min,max,range,seed_p025,seed_p975,mean_ci95_low,mean_ci95_high,desired_rate,unanimous_desired_cells,unanimous_undesired_cells,threshold_crossing_cells,median_seed_sd_to_task_se_ratio,p95_seed_sd_to_task_se_ratio,instance_capability_groups,unique_structure_count_mean,all_10_seeds_unique_rate
trend,10,0.2856307197003907,0.025770676168092057,0.09022375532689177,0.2767611122961027,0.2592258669607357,0.3419176467450749,0.08269177978433923,0.25998418891148556,0.33508526763561763,0.2671954885324787,0.30406595086830274,1.0,30,0,0,0.2532141885635291,0.43567997288049476,4866,10.0,1.0
multi_seasonal,10,0.8783473501669711,0.03037527976522102,0.0345823093329157,0.8735119154320288,0.8300579762911924,0.9437659678826648,0.11370799159147238,0.8369193015348321,0.9338248708499648,0.8566181840166788,0.9000765163172634,0.7966666666666666,19,3,8,0.27489306419020987,0.7203887392330917,10528,9.355243161094226,0.5691489361702128
time_varying_seasonality,10,0.5229484842529554,0.016458167061238534,0.03147187066571084,0.5171343234366859,0.5065270163895298,0.5463407685425871,0.03981375215305727,0.5067773449314079,0.5463151364399429,0.5111750207863772,0.5347219477195335,0.98,29,0,1,0.19802086068575298,0.25553060411556555,3457,4.98756146948221,0.027480474399768584
regime_switching,10,0.12639427110516527,0.010586051151597366,0.08375420071681361,0.12422158002594698,0.11418425136106136,0.143526157924967,0.029341906563905645,0.11433631126380497,0.14265756608723676,0.11882146630710291,0.13396707590322762,1.0,30,0,0,0.27232523721039636,0.6830219979876949,10528,9.914418693009118,0.9180281155015197
predictable_intermittency,10,1.007768763306622,0.03599922279905028,0.03572170929463233,1.0059231125889057,0.9399147540162289,1.0700071261085022,0.1300923720922733,0.9464437640764044,1.061837920344407,0.982016470668396,1.0335210559448478,0.4666666666666667,9,14,7,0.5955042739829415,1.3340189426094013,10528,10.0,1.0
common_factor,10,0.3082314095626018,0.02106187246540482,0.068331363423646,0.3170233228294947,0.26905384764326196,0.32935771742511416,0.060303869781852204,0.270085085164001,0.3282149175640322,0.29316465364218214,0.3232981654830215,1.0,30,0,0,0.3139624691978472,0.6392370279020367,65,6.153846153846154,0.015384615384615385
cross_series_dependence,10,1.0432745202784184,0.047512824015854806,0.04554201515740562,1.0369350781509044,0.9842397554895667,1.1219961487567296,0.13775639326716294,0.9852726402403351,1.1218072411072086,1.0092858934973674,1.0772631470594694,0.5833333333333334,6,7,17,0.3787527520252437,0.4845180992649109,3538,6.507914075749011,0.001978518937252685
covariate_impulse_response,10,0.6266242606938993,0.02771074689157018,0.04422226943604829,0.6280633590596187,0.5907755533874027,0.6711818917183252,0.08040633833092248,0.5923062683566241,0.6670260442071541,0.6068011865359109,0.6464473348518878,0.9133333333333333,27,2,1,0.36380618509050816,0.6166663480719274,4296,5.910614525139665,0.0
