model_id,capability_id,n,mean,sd,cv,median,min,max,range,seed_p025,seed_p975,mean_ci95_low,mean_ci95_high,desired_rate,unanimous_cell_rate
Chronos-2,common_factor,10,0.025837053240848083,0.008132435048120825,0.31475861323316623,0.025900910638424066,0.013584173020755676,0.03874380713233849,0.025159634111582816,0.013634728191808857,0.037863172874587216,0.020019459666964112,0.031654646814732054,1.0,1.0
Chronos-2,cross_series_dependence,10,0.0020042864228096867,0.0010697680406328766,0.5337401024416631,0.0022759402825526416,0.0004830153150108804,0.0035907480421024825,0.003107732727091602,0.0005292130457883737,0.00349921664488902,0.0012390204671756063,0.002769552378443767,0.7,0.0
Chronos-2,covariate_impulse_response,10,0.0008356152360958332,0.001296126723689063,1.5511047042952861,0.00047733733257382047,-0.0014122795171795355,0.003061830385524278,0.004474109902703813,-0.001145724290096191,0.0029227465675480116,-9.157796668481945e-05,0.0017628084388764858,0.64,0.0
timesfm2.5,common_factor,10,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
timesfm2.5,cross_series_dependence,10,-1.6920149546556086e-08,2.417806742439183e-08,1.428951166055918,-1.3030650614238618e-08,-6.007646145340435e-08,1.255529502322292e-08,7.263175647662728e-08,-5.631097819460137e-08,1.2072431314832146e-08,-3.42160970511817e-08,3.7579795806953116e-10,0.4,0.0
timesfm2.5,covariate_impulse_response,10,6.241757712895822e-08,9.91731659576862e-08,1.5888659976786483,7.9592750675469e-08,-5.7181784807174276e-08,1.9962381613745482e-07,2.568056009446291e-07,-5.7006113005582265e-08,1.981090731984207e-07,-8.526632024053138e-09,1.3336178628196958e-07,0.62,0.0
Timer-3.5,common_factor,10,-1.4811964075454486e-05,0.0003197707088358443,21.5886770455884,-4.603275728195585e-05,-0.0004300894694812261,0.0005265258003775391,0.0009566152698587652,-0.00041284954187143804,0.00047845619006055956,-0.00024356214896252492,0.00021393822081161592,0.44,0.0
Timer-3.5,cross_series_dependence,10,6.813420209049055e-05,0.00045017070899804756,6.607117940563328,0.0001346736127763565,-0.0008599240813016567,0.0007275209347759415,0.0015874450160775983,-0.000729944509516968,0.0006482913498513818,-0.00025389852344882846,0.0003901669276298096,0.54,0.0
Timer-3.5,covariate_impulse_response,10,0.000493278692983186,0.0011086887519196193,2.247591002187095,0.0004089475535604093,-0.0011003152039362825,0.002263988224138657,0.0033643034280749396,-0.0010346410083276034,0.002238996932368114,-0.0002998294622544518,0.001286386848220824,0.6,0.0
tirex2,common_factor,10,-0.0016281106915744421,0.0009623603884078795,0.5910902700830754,-0.0018349593617754882,-0.003018714765343416,-0.0002644746583991142,0.0027542401069443018,-0.0029026641034453817,-0.00030086547808062824,-0.0023165418414372186,-0.0009396795417116658,0.24,0.0
tirex2,cross_series_dependence,10,0.002117171844827399,0.0008926276478722262,0.4216132242893099,0.002447386886252784,0.0006209498296442576,0.0033022941664788965,0.0026813443368346387,0.0006734150520224116,0.0032093502623404538,0.0014786244924778012,0.002755719197176997,0.88,0.4
tirex2,covariate_impulse_response,10,0.00010062976485185572,0.0007640171824775889,7.5923578237746385,8.894342169599309e-05,-0.0012946651285198599,0.0013987778881570077,0.0026934430166768676,-0.0011158102629226817,0.0013353682273725882,-0.000445915202899914,0.0006471747326036255,0.64,0.2
Timer-4.0,common_factor,10,-0.004116200373789394,0.005076177220160469,1.2332191728283908,-0.003710746715331451,-0.014761204731043257,0.0028205982986921666,0.017581803029735422,-0.013607406465888676,0.002340925456041723,-0.007747478804070316,-0.0004849219435084716,0.3,0.0
Timer-4.0,cross_series_dependence,10,0.01716330758854261,0.0052257549507603454,0.3044724872406765,0.017854310289623934,0.009407348387480252,0.02359854653860783,0.014191198151127578,0.009476448196384038,0.02338775913025563,0.013425027695700352,0.02090158748138487,0.76,0.4
Timer-4.0,covariate_impulse_response,10,0.00010518637718587599,0.003553264215681695,33.780650220538384,0.0001078024090640073,-0.006635551350509449,0.0048939112555191275,0.011529462606028575,-0.006049156598174675,0.00472268588973884,-0.0024366657181761745,0.0026470384725479266,0.56,0.0
moirai2,common_factor,10,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
moirai2,cross_series_dependence,10,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
moirai2,covariate_impulse_response,10,3.4812836280447186e-10,1.0102016218277881e-08,29.018078667585417,2.8117656876304933e-09,-1.577741771854678e-08,1.747460627700317e-08,3.325202399554995e-08,-1.5689725938623247e-08,1.5107545311811538e-08,-6.878418702985497e-09,7.574675428594442e-09,0.56,0.0
toto2.0,common_factor,10,0.013261498979408278,0.009176089700867664,0.6919345780681195,0.011775824605256429,0.00447602580402612,0.036882772983299984,0.032406747179273866,0.004529330961018664,0.032128840417897035,0.006697319842252323,0.019825678116564233,0.98,0.8
toto2.0,cross_series_dependence,10,0.02698636116322615,0.007483303403139591,0.27729946093425,0.02617910393883137,0.013426264053484538,0.037576349792754496,0.02415008573926996,0.014954252368064875,0.036990765770804214,0.02163312839445186,0.03233959393200044,0.84,0.6
toto2.0,covariate_impulse_response,10,2.076055805853856e-06,9.949663123904789e-06,4.792579802455077,2.4428114171018413e-06,-1.78788912003394e-05,1.633181552278048e-05,3.4210706723119885e-05,-1.498961164246027e-05,1.538992487148239e-05,-5.041504421733078e-06,9.19361603344079e-06,0.5,0.0
