metric,model_id,capability_id,capability_level,n,mean,sd,cv,median,min,max,range,seed_p025,seed_p975,mean_ci95_low,mean_ci95_high,desired_count,desired_rate,direction_category,direction_unanimous,mean_approx_task_bootstrap_se,seed_sd_to_task_se_ratio,seed_mean_ci_relation_to_1,task_count_min,task_count_max,task_coverage_min,task_coverage_max,worst_seed,best_seed
capability_effect_nrmse,Chronos-2,common_factor,1,10,0.3020982770247573,0.038362496836561906,0.12698681109464938,0.29276893093321316,0.26065363489927057,0.39296784870627344,0.13231421380700287,0.2640197720091437,0.3804626778944449,0.27465539998313904,0.3295411540663755,10,1.0,unanimous_desired,True,0.07860576730003603,0.48803666899062664,below,4,4,0.4,0.4,2026082705,2026082706
capability_effect_nrmse,Chronos-2,common_factor,2,10,0.2823405494230718,0.03044767197608932,0.10784023774943201,0.2749248143717171,0.24254734833914354,0.343131952741519,0.10058460440237543,0.24401529402205352,0.3368497744107891,0.2605595970047977,0.3041215018413459,10,1.0,unanimous_desired,True,0.07650815799577468,0.39796634468406433,below,4,4,0.4,0.4,2026082705,2026082706
capability_effect_nrmse,Chronos-2,common_factor,3,10,0.24650027554983517,0.0295682273366953,0.11995210662844662,0.24151916376776925,0.20175338353735217,0.29406369090079143,0.09231030736343926,0.20542846243976928,0.29144301953464485,0.22534843992775455,0.2676521111719158,10,1.0,unanimous_desired,True,0.06644351069630564,0.4450130197340602,below,4,4,0.4,0.4,2026082705,2026082706
capability_effect_nrmse,Chronos-2,common_factor,4,10,0.20427069380418916,0.024754341062205292,0.1211840063848534,0.19351093644998557,0.16830923603021458,0.24326667409462066,0.07495743806440608,0.17125702183030894,0.24159127392322985,0.18656250497303528,0.22197888263534304,10,1.0,unanimous_desired,True,0.049863364251485465,0.49644345971838116,below,4,4,0.4,0.4,2026082705,2026082706
capability_effect_nrmse,Chronos-2,common_factor,5,10,0.1619301495137993,0.019378204396075682,0.11967014452996795,0.15853478150426756,0.1297067864963575,0.1873274530476025,0.05762066655124501,0.13282190529772978,0.18652625002958145,0.14806781717410608,0.17579248185349253,10,1.0,unanimous_desired,True,0.03529917392698416,0.5489704783505479,below,4,4,0.4,0.4,2026082705,2026082706
capability_effect_nrmse,Chronos-2,covariate_impulse_response,1,10,0.6867117413160093,0.13711526278529204,0.19966931470040888,0.704084516254172,0.45994048770006873,0.9383849653953771,0.47844447769530835,0.48488959653066394,0.9073173374896281,0.588625391171049,0.7847980914609697,10,1.0,unanimous_desired,True,0.22897455079761478,0.5988231543971234,below,6,6,0.6,0.6,2026082702,2026082708
capability_effect_nrmse,Chronos-2,covariate_impulse_response,2,10,0.6611891949795116,0.15349311956118755,0.23214704766302766,0.6440375271766123,0.48937780411841575,0.9874414132414607,0.498063609123045,0.49478462914734733,0.9459121972733622,0.5513868318852122,0.7709915580738109,10,1.0,unanimous_desired,True,0.2478900472381918,0.6191983957052523,below,6,6,0.6,0.6,2026082702,2026082708
capability_effect_nrmse,Chronos-2,covariate_impulse_response,3,10,0.6598552462577697,0.14648701413165552,0.22199871102400992,0.6597534544944941,0.44438937957031427,0.961545820267268,0.5171564406969538,0.460860578395026,0.9269776937029547,0.5550647490663179,0.7646457434492215,10,1.0,unanimous_desired,True,0.28479998238254584,0.5143505027851191,below,6,6,0.6,0.6,2026082702,2026082706
capability_effect_nrmse,Chronos-2,covariate_impulse_response,4,10,0.6341337278469287,0.12652024553755772,0.19951666341282828,0.6140879863141553,0.3859455684065615,0.8240023078424524,0.4380567394358909,0.4244360066124726,0.8110091886708395,0.5436265964588216,0.7246408592350357,10,1.0,unanimous_desired,True,0.30095742069452913,0.4203925101616796,below,6,6,0.6,0.6,2026082704,2026082706
capability_effect_nrmse,Chronos-2,covariate_impulse_response,5,10,0.5472372064010291,0.10118486502697066,0.18490128931916933,0.5356695701177461,0.3207378418256437,0.6633146085456947,0.342576766720051,0.3588253873433189,0.6600530759838273,0.47485391442610675,0.6196204983759515,10,1.0,unanimous_desired,True,0.2552778170503882,0.3963715539254952,below,6,6,0.6,0.6,2026082704,2026082706
