model_id,capability_id,n,mean,std,cv,median,min,max,range,desired_direction_rate,unanimous_level_rate
Timer-4.0,trend,10,0.43257138037537884,0.02693246144705576,0.062261311471147676,0.43181876499575594,0.3831227391092595,0.47716380868319136,0.09404106957393188,1.0,1.0
Timer-4.0,multi_seasonal,10,0.9673293369691057,0.06826793429760902,0.07057362129790275,0.9794105454838127,0.8468161063287949,1.086325317011158,0.23950921068236308,0.58,0.2
Timer-4.0,time_varying_seasonality,10,0.5094588853416162,0.026390600350014413,0.0518012367814888,0.5058443140965405,0.47052996731829155,0.5469161164168403,0.0763861490985488,1.0,1.0
Timer-4.0,regime_switching,10,0.13851894602154585,0.030875393237329168,0.2228965359910165,0.1301341346258405,0.11036493569006127,0.19709824629526634,0.08673331060520507,1.0,1.0
Timer-4.0,predictable_intermittency,10,0.9922563796657309,0.07913735544846309,0.0797549474815397,0.9713371351748405,0.897076443479485,1.147596377706284,0.2505199342267991,0.44,0.8
Timer-4.0,common_factor,10,0.3303043860210711,0.01571434428050824,0.04757534245853391,0.33293139217440426,0.30462786229137684,0.3478853717165266,0.043257509425149776,1.0,1.0
Timer-4.0,cross_series_dependence,10,0.9744404098688598,0.048501874768402994,0.04977407984848491,0.9653790208522937,0.8874700901932894,1.0502055532583376,0.16273546306504827,0.74,0.0
Timer-4.0,covariate_impulse_response,10,0.76036116622279,0.13135387550363398,0.1727519517549198,0.7121741049357018,0.603531142494894,1.0214570659615327,0.4179259234666387,0.76,0.6
Chronos-2,trend,10,0.08943637141573998,0.01120575354503552,0.125293025283262,0.08329872044134104,0.07503544140585475,0.11058366901958241,0.03554822761372767,1.0,1.0
Chronos-2,multi_seasonal,10,0.8686747807845887,0.05261748590001245,0.06057213477809065,0.8650170405851898,0.7855330539822872,0.9598701029178954,0.1743370489356082,0.96,0.8
Chronos-2,time_varying_seasonality,10,0.4075435627042766,0.01698077231023597,0.04166615268698926,0.40183147560672305,0.38572818328792013,0.4302763599755683,0.044548176687648156,1.0,1.0
Chronos-2,regime_switching,10,0.10372634635081099,0.010675081421334527,0.10291581451476685,0.10515427543163283,0.08655859238774391,0.11713171888024532,0.030573126492501407,1.0,1.0
Chronos-2,predictable_intermittency,10,0.9653744876407251,0.04308548859239054,0.04463085480711946,0.9537523975675524,0.916578789855383,1.042876784150828,0.12629799429544497,0.56,0.4
Chronos-2,common_factor,10,0.23942798906313056,0.027008655999314866,0.11280492353879909,0.2317658336395726,0.20059407786046765,0.2921515238981614,0.09155744603769375,1.0,1.0
Chronos-2,cross_series_dependence,10,0.9230323116400185,0.04498676347284935,0.04873801589125098,0.9120683729079025,0.8713986042678965,0.9894891511567592,0.11809054688886267,0.86,0.4
Chronos-2,covariate_impulse_response,10,0.6378254233602496,0.10509138481292452,0.16476512375325614,0.6336321838673961,0.45651775010150286,0.8566186370636608,0.40010088696215795,1.0,1.0
timesfm2.5,trend,10,0.30708302016207606,0.03965496690808898,0.1291343522906587,0.3228883745955657,0.23049631472778911,0.3505508052547405,0.12005449052695141,1.0,1.0
timesfm2.5,multi_seasonal,10,0.8193600542142949,0.08739745676359036,0.10666550842217709,0.7979511634552434,0.7312312905491659,1.0047672817115347,0.2735359911623688,0.9,0.4
timesfm2.5,time_varying_seasonality,10,0.5814160860140803,0.017308179163796965,0.029769006362472414,0.5799064500545927,0.564300284404707,0.6230721046754195,0.05877182027071248,1.0,1.0
timesfm2.5,regime_switching,10,0.09720389784833125,0.00847806941409045,0.0872194387443075,0.09444090069146388,0.0859902403126851,0.11389684407564786,0.027906603762962764,1.0,1.0
timesfm2.5,predictable_intermittency,10,0.8778124681270633,0.027825184315908986,0.03169832433034124,0.8785866411533665,0.8157493086572571,0.9160129981446359,0.10026368948737874,0.78,0.8
timesfm2.5,common_factor,10,0.3344185144915078,0.016274038809546323,0.04866368967128339,0.3352559816199649,0.30941482314704505,0.36071851312184905,0.051303689974804,1.0,1.0
timesfm2.5,cross_series_dependence,10,1.0817251479011385,0.05980498368053942,0.05528667221667028,1.06222028817291,1.0133094652289645,1.186692823981518,0.1733833587525535,0.32,0.4
timesfm2.5,covariate_impulse_response,10,0.4063982009042256,0.055649865336183726,0.13693432995609772,0.3847990273045064,0.3356842111443813,0.49491714608166715,0.15923293493728585,1.0,1.0
tirex2,trend,10,0.363623490094246,0.06317612452830842,0.1737404932556312,0.3604509043630848,0.27009835973201174,0.46924412222009826,0.19914576248808652,1.0,1.0
tirex2,multi_seasonal,10,0.9371058124397944,0.024198059423955337,0.025822120728239504,0.9337435631742261,0.893763181037782,0.9697150723942485,0.07595189135646652,0.74,0.6
tirex2,time_varying_seasonality,10,0.4663501001483807,0.020537320997087483,0.04403841875567955,0.46353210454867233,0.4364935179994484,0.4972952726878341,0.06080175468838567,1.0,1.0
tirex2,regime_switching,10,0.08604178701296451,0.018338453459480892,0.21313426994162393,0.08205483208349006,0.0677801364514142,0.12351634318630733,0.05573620673489313,1.0,1.0
tirex2,predictable_intermittency,10,1.1182653423091375,0.08073305357705221,0.07219489911968859,1.1287103324043142,0.9995763473318975,1.258731248741216,0.2591549014093184,0.32,0.8
