metric,model_id,capability_id,capability_level,n,mean,std,cv,median,min,max,range,desired_direction_rate,direction_agreement,direction_unanimous
input_ablation_mase_degradation,Chronos-2,common_factor,1,10,0.019910935548136936,0.009238296043852588,0.46398101292216853,0.02048312774499856,0.003989083123017271,0.03263324700003489,0.028644163877017622,1.0,1.0,True
input_ablation_mase_degradation,Chronos-2,common_factor,2,10,0.021367745626184702,0.007840279652534744,0.366921236788172,0.022806159587779387,0.009491167553846071,0.03341222745706465,0.02392105990321858,1.0,1.0,True
input_ablation_mase_degradation,Chronos-2,common_factor,3,10,0.02801333459521656,0.010921588778728104,0.38987107163575696,0.027414512195892284,0.013415280726273135,0.051099431925773285,0.03768415119950015,1.0,1.0,True
input_ablation_mase_degradation,Chronos-2,common_factor,4,10,0.031073966305229773,0.014150099093756795,0.45536829623759106,0.027517199497100138,0.011425331357808759,0.05687243624686121,0.04544710488905245,1.0,1.0,True
input_ablation_mase_degradation,Chronos-2,common_factor,5,10,0.02881928412947245,0.010928758293338805,0.37921685508358466,0.025391030991329416,0.013905965659082607,0.04537205359239007,0.03146608793330746,1.0,1.0,True
input_ablation_mase_degradation,Chronos-2,covariate_impulse_response,1,10,0.0010520998462790758,0.001304895925802657,1.2402776508499986,0.0010394293055298598,-0.0012320230786491283,0.002653866422573818,0.003885889501222946,0.8,0.8,False
input_ablation_mase_degradation,Chronos-2,covariate_impulse_response,2,10,0.0003498387815161545,0.0012229889033106654,3.4958642892888974,0.00022670673417999498,-0.001692584465692956,0.001928106479997871,0.003620690945690827,0.5,0.5,False
input_ablation_mase_degradation,Chronos-2,covariate_impulse_response,3,10,8.480221208595628e-05,0.0014692171200037076,17.325221640615883,-0.0003142960153256595,-0.0015081905077156989,0.0030637074761301515,0.00457189798384585,0.4,0.6,False
input_ablation_mase_degradation,Chronos-2,covariate_impulse_response,4,10,0.0014746290242539186,0.0020703761942940458,1.4039979955918354,0.001626536517579693,-0.002713892507049133,0.004899091353548038,0.00761298386059717,0.8,0.8,False
input_ablation_mase_degradation,Chronos-2,covariate_impulse_response,5,10,0.00121670631634406,0.0018824092515703841,1.5471352669776695,0.001656314688725023,-0.001656145167461756,0.0031953732778458046,0.004851518445307561,0.7,0.7,False
input_ablation_mase_degradation,Chronos-2,cross_series_dependence,1,10,0.0030017422623671544,0.003103431317781126,1.033876677784381,0.0027992809615851686,-0.0028950439674126824,0.008124924284618994,0.011019968252031677,0.9,0.9,False
input_ablation_mase_degradation,Chronos-2,cross_series_dependence,2,10,0.004071752322224424,0.002396020510553021,0.5884494735780147,0.0043321494031566075,-0.0005831759901533565,0.007497903318947735,0.008081079309101092,0.9,0.9,False
input_ablation_mase_degradation,Chronos-2,cross_series_dependence,3,10,0.0035203664954407904,0.0027717917014805785,0.7873588460378521,0.0032532345391152523,-0.00019419547650050917,0.007854304608333525,0.008048500084834034,0.9,0.9,False
input_ablation_mase_degradation,Chronos-2,cross_series_dependence,4,10,0.00022917298252854678,0.00329419507832784,14.374273275941245,-0.0002068240619143117,-0.0048387187908189465,0.005600130236837942,0.010438849027656887,0.5,0.5,False
input_ablation_mase_degradation,Chronos-2,cross_series_dependence,5,10,-0.0008016019485124822,0.003291532701588357,4.106193488796269,-0.0020385889102204286,-0.004999581329914475,0.005332009586222585,0.01033159091613706,0.3,0.7,False
input_ablation_mase_degradation,Timer-3.5,common_factor,1,10,-0.00034641138179212605,0.0007889746163105299,2.277565512509564,-9.741073399487484e-05,-0.001762650451884262,0.0003957052985891747,0.0021583557504734367,0.4,0.6,False
input_ablation_mase_degradation,Timer-3.5,common_factor,2,10,0.00011957841977533378,0.00039548312241600205,3.307311830671816,0.0001333214775524288,-0.0004897316167411698,0.0006106832038028284,0.0011004148205439983,0.5,0.5,False
input_ablation_mase_degradation,Timer-3.5,common_factor,3,10,7.509118723708807e-05,0.001326230740590646,17.661603037428222,5.487021402100021e-05,-0.0021220893869355263,0.0021660342887560914,0.004288123675691618,0.5,0.5,False
input_ablation_mase_degradation,Timer-3.5,common_factor,4,10,-4.611026066586213e-05,0.0004813024039291226,10.4380759722197,-7.959181326426879e-05,-0.0007294631514766687,0.0008610494378132921,0.0015905125892899609,0.3,0.7,False
input_ablation_mase_degradation,Timer-3.5,common_factor,5,10,0.00012379221506829389,0.0005932142786512771,4.792016027211498,7.955531166561953e-05,-0.0007521859464423578,0.0012825806689014516,0.0020347666153438092,0.5,0.5,False
input_ablation_mase_degradation,Timer-3.5,covariate_impulse_response,1,10,0.0009793057258845048,0.0019466860281448816,1.987822573371194,0.00030705894209110806,-0.001132936160264979,0.005613001172352809,0.006745937332617788,0.7,0.7,False
input_ablation_mase_degradation,Timer-3.5,covariate_impulse_response,2,10,-0.0011301952845882252,0.004341487222804479,3.8413602339406805,-0.0008958361383163248,-0.011172972684668934,0.00499660398045851,0.016169576665127444,0.5,0.5,False
input_ablation_mase_degradation,Timer-3.5,covariate_impulse_response,3,10,0.002208835503725858,0.004455274945671195,2.0170243271425368,0.0012341856472318424,-0.004681353890733164,0.01049335368051013,0.015174707571243295,0.6,0.6,False
input_ablation_mase_degradation,Timer-3.5,covariate_impulse_response,4,10,-0.0006608564279471318,0.004713400326231928,7.132260695221683,0.0009303754479715305,-0.008556001167860814,0.005244912118706781,0.013800913286567596,0.6,0.6,False
input_ablation_mase_degradation,Timer-3.5,covariate_impulse_response,5,10,0.0010693039478409249,0.004139254055533461,3.8709798686250037,0.0013059462946211505,-0.004316322294488166,0.009916572028490276,0.014232894322978442,0.6,0.6,False
input_ablation_mase_degradation,Timer-3.5,cross_series_dependence,1,10,0.00017314253361694402,0.00044346170875279986,2.561252278622091,0.00018285806636222538,-0.00036997616907227836,0.0009413009317680754,0.0013112771008403539,0.6,0.6,False
input_ablation_mase_degradation,Timer-3.5,cross_series_dependence,2,10,-0.0005090798097304735,0.000716521906725464,1.4074844317727282,-0.0005178328394140005,-0.0018353399577752817,0.00039300075102007763,0.0022283407087953593,0.3,0.7,False
input_ablation_mase_degradation,Timer-3.5,cross_series_dependence,3,10,4.677091439466282e-05,0.0011800063702659524,25.229491138633943,0.0001314358988057388,-0.00248362111342755,0.0018387042486606026,0.004322325362088153,0.5,0.5,False
input_ablation_mase_degradation,Timer-3.5,cross_series_dependence,4,10,0.0003690812401141869,0.0007943090432419495,2.152125215023676,0.00017358701590978592,-0.00035948676580243276,0.0022678513528658632,0.002627338118668296,0.6,0.6,False
input_ablation_mase_degradation,Timer-3.5,cross_series_dependence,5,10,0.0002607561320571325,0.0010688507634332624,4.099043635142869,0.00011297695429973351,-0.001557514762061958,0.0027200624272423757,0.004277577189304334,0.7,0.7,False
input_ablation_mase_degradation,Timer-4.0,common_factor,1,10,-0.004710796785366589,0.006767316999991511,1.4365546442192552,-0.00531578884962045,-0.016468526597503662,0.004546014179916093,0.021014540777419755,0.3,0.7,False
input_ablation_mase_degradation,Timer-4.0,common_factor,2,10,-0.0058817161047226224,0.006118800376659447,1.0403086901366188,-0.004861010980121112,-0.01890714403781854,0.0022764828412989643,0.021183626879117505,0.1,0.9,False
input_ablation_mase_degradation,Timer-4.0,common_factor,3,10,-0.004364392153427888,0.006340481203583551,1.4527753191480741,-0.004957196468684308,-0.016261740611963726,0.004263677700694335,0.020525418312658063,0.3,0.7,False
input_ablation_mase_degradation,Timer-4.0,common_factor,4,10,-0.005858786470869142,0.006822553265128197,1.164499388918006,-0.00512370818419329,-0.018487658518889657,0.0033917751371042235,0.02187943365599388,0.2,0.8,False
input_ablation_mase_degradation,Timer-4.0,common_factor,5,10,0.00023468964543927473,0.006591281198479253,28.08509589821136,0.0005798957673327776,-0.01139899987810305,0.010510568092825648,0.021909567970928696,0.6,0.6,False
input_ablation_mase_degradation,Timer-4.0,covariate_impulse_response,1,10,0.002019408342476156,0.0042806853134793234,2.119772026013539,0.0025769387315538643,-0.005159277646224907,0.01001016146609193,0.015169439112316838,0.8,0.8,False
input_ablation_mase_degradation,Timer-4.0,covariate_impulse_response,2,10,2.728291066506209e-06,0.004821191450124416,1767.1103751764763,0.0004211313425796725,-0.010822101892784042,0.005432281896944072,0.016254383789728113,0.5,0.5,False
input_ablation_mase_degradation,Timer-4.0,covariate_impulse_response,3,10,-0.00029584403957080027,0.004977952338756163,16.826272200643267,0.0016091461040541005,-0.009377001055264575,0.005293793194924058,0.014670794250188635,0.6,0.6,False
input_ablation_mase_degradation,Timer-4.0,covariate_impulse_response,4,10,-0.00180649652978194,0.008858610113479676,4.903751525362182,-0.0022240789433064234,-0.01682452170593671,0.008095030602973457,0.024919552308910166,0.4,0.6,False
input_ablation_mase_degradation,Timer-4.0,covariate_impulse_response,5,10,0.0006061358217394584,0.005327127643485935,8.788669886228483,0.0004112294808852233,-0.0056107047213723,0.009634217486571638,0.015244922207943937,0.5,0.5,False
