model_id,n,mean,std,cv,median,min,max,range
Chronos-2,10,2.5096070380482187,0.0,0.0,2.5096070380482187,2.5096070380482187,2.5096070380482187,0.0
Timer-3.5,10,2.4767158660991457,0.0018846067890311298,0.0007609297517035758,2.476028206349805,2.4743993387553873,2.4797922036612805,0.005392864905893191
Timer-4.0,10,2.5032863927924964,0.0,0.0,2.5032863927924964,2.5032863927924964,2.5032863927924964,0.0
moirai2,10,2.7184513388292633,0.0,0.0,2.7184513388292633,2.7184513388292633,2.7184513388292633,0.0
timesfm2.5,10,2.3412086184441017,0.0,0.0,2.3412086184441017,2.3412086184441017,2.3412086184441017,0.0
tirex2,10,2.3348074286250817,0.0,0.0,2.3348074286250817,2.3348074286250817,2.3348074286250817,0.0
toto2.0,10,2.287914588480843,8.239732180550514e-08,3.601415989056493e-08,2.28791457106401,2.287914487622639,2.2879147416240886,2.540014496510423e-07
