seed,model_id,effect_nrmse_equal_cell_mean,input_ablation_degradation_equal_cell_mean,effect_rank
2026082701,Timer-4.0,0.6496718196284818,0.007582704817614058,6.0
2026082701,Chronos-2,0.5310078150339639,0.013379659083976833,1.0
2026082701,timesfm2.5,0.577648075269886,3.5001573441849864e-08,2.0
2026082701,tirex2,0.6367098413391814,-0.0003170794128238775,4.0
2026082701,moirai2,0.647695202575565,2.3181117735319688e-09,5.0
2026082701,Timer-3.5,0.5810826254502488,0.0002233585600559429,3.0
2026082701,toto2.0,0.6664926010819217,0.012541230065629327,7.0
2026082702,Timer-4.0,0.6565719815771719,-0.003025366177670731,6.0
2026082702,Chronos-2,0.5551983368900252,0.010714218483738639,1.0
2026082702,timesfm2.5,0.5765979681627807,2.7079583495830457e-08,3.0
2026082702,tirex2,0.6489744274067571,-0.0005519528465953801,5.0
2026082702,moirai2,0.6358487952664313,-5.259139239515594e-09,4.0
2026082702,Timer-3.5,0.5756603542389589,0.00019940976689085808,2.0
2026082702,toto2.0,0.7114743445719582,0.01128999627223879,7.0
2026082703,Timer-4.0,0.6175414164535142,0.003555321126468644,5.0
2026082703,Chronos-2,0.5203971508282332,0.008118604502474832,1.0
2026082703,timesfm2.5,0.548398035408964,-2.0368624032489124e-08,2.0
2026082703,tirex2,0.6027167086030896,0.0004995923360914409,4.0
2026082703,moirai2,0.6274905444179067,1.1359657303778714e-09,6.0
2026082703,Timer-3.5,0.5543492244549807,-6.916115918317575e-05,3.0
2026082703,toto2.0,0.6627328756357047,0.0060472874232912555,7.0
2026082704,Timer-4.0,0.6649575111477041,0.00434085799635234,6.0
2026082704,Chronos-2,0.5533714269444763,0.0089368583187425,1.0
2026082704,timesfm2.5,0.5725090164305505,-8.817418759771285e-09,2.0
2026082704,tirex2,0.6592472858272275,-0.00048609619164145893,5.0
2026082704,moirai2,0.6367638758490505,9.820147358651508e-10,4.0
2026082704,Timer-3.5,0.5864163384736433,-0.0003565564038901939,3.0
2026082704,toto2.0,0.6958256428407585,0.012326974325684794,7.0
2026082705,Timer-4.0,0.6134571423276243,0.00524338939228157,5.0
2026082705,Chronos-2,0.5231249249004999,0.012965158260325366,1.0
2026082705,timesfm2.5,0.5491731856581791,4.061991263870017e-08,2.0
2026082705,tirex2,0.5956236337963683,8.36279278925138e-05,4.0
2026082705,moirai2,0.6371724145294457,7.225111458328426e-12,6.0
2026082705,Timer-3.5,0.5587815416451068,-0.00011891580391390076,3.0
2026082705,toto2.0,0.6651064651778283,0.01243475850095637,7.0
2026082706,Timer-4.0,0.6649055477004528,0.004254385707824591,6.0
2026082706,Chronos-2,0.5116857522041443,0.005588046972887017,1.0
2026082706,timesfm2.5,0.5498225201109586,1.678488245540259e-08,2.0
2026082706,tirex2,0.6345141217271968,-6.181881790633578e-05,4.0
2026082706,moirai2,0.6353275899636237,-5.129225491480729e-09,5.0
2026082706,Timer-3.5,0.5550623621364575,0.0002306791863624936,3.0
2026082706,toto2.0,0.691176198861202,0.013863906543991743,7.0
2026082707,Timer-4.0,0.6407876053581778,0.0057104777877907695,7.0
2026082707,Chronos-2,0.5097394051448624,0.01025024939279599,1.0
2026082707,timesfm2.5,0.5554601419671876,4.985021499804473e-08,2.0
2026082707,tirex2,0.6320428113990052,0.0005890092385178709,4.0
2026082707,moirai2,0.6389686837181979,8.924957225551781e-10,6.0
2026082707,Timer-3.5,0.5711011287726468,9.939244021418192e-05,3.0
2026082707,toto2.0,0.6324331102884974,0.024813747961618046,5.0
2026082708,Timer-4.0,0.6013931922091003,0.0057270736129641595,4.0
2026082708,Chronos-2,0.49893196025092446,0.009476584592236457,1.0
2026082708,timesfm2.5,0.5584705783599186,-3.882582756598249e-08,3.0
2026082708,tirex2,0.6034611472442639,0.0007131136843879888,5.0
2026082708,moirai2,0.6332512255289916,5.8248687590010556e-09,6.0
2026082708,Timer-3.5,0.5576323876213126,0.0007687995766440462,2.0
2026082708,toto2.0,0.6697428093896773,0.0114001563737721,7.0
2026082709,Timer-4.0,0.625154717955052,0.005916773661092628,4.0
2026082709,Chronos-2,0.5457918814125495,0.010897685203045565,1.0
2026082709,timesfm2.5,0.5677999263123199,7.001101674483217e-08,2.0
2026082709,tirex2,0.6491464344770013,0.0005955050232683447,7.0
2026082709,moirai2,0.6327912979582242,-1.5071891774730713e-09,5.0
2026082709,Timer-3.5,0.5715218772681789,0.00014447413162869933,3.0
2026082709,toto2.0,0.6387453024958101,0.01315116410297019,6.0
2026082710,Timer-4.0,0.6471101787503442,0.00453536071507894,5.0
2026082710,Chronos-2,0.544552937589746,0.005262784855622145,1.0
2026082710,timesfm2.5,0.5758922893976518,-1.9677221475076622e-08,3.0
2026082710,tirex2,0.6331115238758749,0.0009017354524916025,4.0
2026082710,moirai2,0.6588878460247108,1.895299951694746e-09,6.0
2026082710,Timer-3.5,0.5701926444729811,0.0007005228085184556,2.0
2026082710,toto2.0,0.6732997683188695,0.016297232424648336,7.0
