metric,model_id,capability_id,capability_level,n,mean,std,cv,median,min,max,range,desired_direction_rate,direction_agreement,direction_unanimous,mean_approximate_within_seed_task_se,seed_sd_to_task_se_ratio
capability_effect_nrmse,Chronos-2,common_factor,1,10,0.3020982770247573,0.038362496836561906,0.12698681109464938,0.29276893093321316,0.26065363489927057,0.39296784870627344,0.13231421380700287,1.0,1.0,True,0.07860576730003603,0.48803666899062664
capability_effect_nrmse,Chronos-2,common_factor,2,10,0.2823405494230718,0.03044767197608932,0.10784023774943201,0.2749248143717171,0.24254734833914354,0.343131952741519,0.10058460440237543,1.0,1.0,True,0.07650815799577468,0.39796634468406433
capability_effect_nrmse,Chronos-2,common_factor,3,10,0.24650027554983517,0.0295682273366953,0.11995210662844662,0.24151916376776925,0.20175338353735217,0.29406369090079143,0.09231030736343926,1.0,1.0,True,0.06644351069630564,0.4450130197340602
capability_effect_nrmse,Chronos-2,common_factor,4,10,0.20427069380418916,0.024754341062205292,0.1211840063848534,0.19351093644998557,0.16830923603021458,0.24326667409462066,0.07495743806440608,1.0,1.0,True,0.049863364251485465,0.49644345971838116
capability_effect_nrmse,Chronos-2,common_factor,5,10,0.1619301495137993,0.019378204396075682,0.11967014452996795,0.15853478150426756,0.1297067864963575,0.1873274530476025,0.05762066655124501,1.0,1.0,True,0.03529917392698416,0.5489704783505479
capability_effect_nrmse,Chronos-2,covariate_impulse_response,1,10,0.6867117413160093,0.13711526278529204,0.19966931470040888,0.704084516254172,0.45994048770006873,0.9383849653953771,0.47844447769530835,1.0,1.0,True,0.22897455079761478,0.5988231543971234
capability_effect_nrmse,Chronos-2,covariate_impulse_response,2,10,0.6611891949795116,0.15349311956118755,0.23214704766302766,0.6440375271766123,0.48937780411841575,0.9874414132414607,0.498063609123045,1.0,1.0,True,0.2478900472381918,0.6191983957052523
capability_effect_nrmse,Chronos-2,covariate_impulse_response,3,10,0.6598552462577697,0.14648701413165552,0.22199871102400992,0.6597534544944941,0.44438937957031427,0.961545820267268,0.5171564406969538,1.0,1.0,True,0.28479998238254584,0.5143505027851191
capability_effect_nrmse,Chronos-2,covariate_impulse_response,4,10,0.6341337278469287,0.12652024553755772,0.19951666341282828,0.6140879863141553,0.3859455684065615,0.8240023078424524,0.4380567394358909,1.0,1.0,True,0.30095742069452913,0.4203925101616796
capability_effect_nrmse,Chronos-2,covariate_impulse_response,5,10,0.5472372064010291,0.10118486502697066,0.18490128931916933,0.5356695701177461,0.3207378418256437,0.6633146085456947,0.342576766720051,1.0,1.0,True,0.2552778170503882,0.3963715539254952
