suite,model_count,spearman_rho_official_mase_vs_derived_macro_nrmse,two_sided_p_value
FEV-Mini20,7,0.3928571429,0.3833168704
GIFT-Long,6,0.7714285714,0.07239650146
GIFT-Medium,6,0.7714285714,0.07239650146
GIFT-Short,7,0.1428571429,0.7599453002
