suite,term,model_id,capability_id,level_count,task_count,task_level_equal_mase_degradation,task_bootstrap_95_ci_lower,task_bootstrap_95_ci_upper,task_median_mase_degradation,positive_task_fraction,leave_one_task_out_min,leave_one_task_out_max,paired_view_count
fev,native,Chronos-2,common_factor,5,8,0.04828412362131626,-0.0051991009675692815,0.12833059295769966,0.003322621301334998,0.75,0.010808226090173987,0.058386523305777996,1300
fev,native,Chronos-2,covariate_impulse_response,5,8,2.9350833312732543,-0.2986277516913848,8.981543692394986,0.1499714159519177,0.625,-0.038536194235340764,3.5037720518402766,87475
fev,native,Chronos-2,cross_series_dependence,5,8,0.01333715127533814,0.004186360237106487,0.02444786949481999,0.009427540056716794,0.875,0.00903502697359489,0.015946533968527712,1300
fev,native,timesfm2.5,covariate_impulse_response,5,6,0.037439277718708946,0.0035409509273770005,0.07892747620870202,0.02773984633300797,0.8333333333333334,0.02021352962210677,0.04752594761958189,53780
fev,native,tirex2,common_factor,5,8,-0.019602661508029365,-0.05628039159177451,0.0005289747869751742,-0.0030769126272160428,0.25,-0.023385080674954366,-0.0017758005841669391,1300
fev,native,tirex2,covariate_impulse_response,5,8,0.0384591698153022,-0.5295777507155474,0.7056306696424907,0.0037907403578145283,0.625,-0.24217901343789877,0.23458909974602155,87475
fev,native,tirex2,cross_series_dependence,5,8,-0.009566635691063445,-0.02897660768876467,0.0029591612273021334,0.0006407830082532006,0.625,-0.012156853552282415,-0.0005447551767173471,1300
fev,native,toto2.0,common_factor,5,8,0.13484973901827146,-0.009755349880040157,0.4015814400496568,-0.0009640723699794753,0.5,0.004170198208989229,0.15859729978643658,1300
fev,native,toto2.0,cross_series_dependence,5,8,0.5049298956753975,0.0022925619263071857,1.4947399820426717,0.013787340220892407,0.875,0.01218670628853318,0.5805517393184493,1300
gift,long,Chronos-2,common_factor,5,4,0.033601292302041647,-0.06363671525784535,0.15336945743313318,0.011071134730837113,0.75,-0.022862422820837152,0.07504490237745076,45
gift,long,Chronos-2,covariate_impulse_response,5,3,-0.00511637612623773,-0.010026423840119935,-0.00234097346976192,-0.002981731068831334,0.0,-0.006504077454475635,-0.002661352269296627,560
gift,long,Chronos-2,cross_series_dependence,5,6,-0.005593455233724363,-0.0920403211595176,0.08202515825008834,-0.014378624190925234,0.3333333333333333,-0.04219779885279681,0.028179262449582833,125
gift,long,toto2.0,common_factor,5,4,-0.012201951243278199,-0.02910959708143001,0.004674208772034404,-0.012170465420438988,0.25,-0.020025461671267727,-0.0043574502667292,45
gift,long,toto2.0,cross_series_dependence,5,6,0.19549928531270566,-0.0336978913894529,0.6286122472586799,-0.008080855804260944,0.5,-0.019029933010379897,0.24470481794593119,125
gift,medium,Chronos-2,common_factor,5,4,-0.006556483681517181,-0.08152078124101321,0.05015280549829465,0.011698524698167023,0.75,-0.030649407420416202,0.02970644564383797,55
gift,medium,Chronos-2,covariate_impulse_response,5,4,0.010703870480885056,-0.0023207283448278488,0.032729792365651704,0.0013989401894075166,0.5,-0.0003596916669022325,0.015564145767687318,825
gift,medium,Chronos-2,cross_series_dependence,5,6,0.005421538967732089,-0.04772900658845879,0.04794083365887971,0.010520590951380238,0.6666666666666666,-0.008707375185248844,0.029558281527501333,210
gift,medium,toto2.0,common_factor,5,4,-0.023635832186033014,-0.09501287731202915,0.03765200128715809,-0.013546620533227994,0.5,-0.05194527325908413,0.011399749988888111,55
gift,medium,toto2.0,cross_series_dependence,5,6,-0.03870755717062409,-0.0934828874485768,0.0016643737297399573,-0.015567065447337661,0.16666666666666666,-0.05163825391518758,-0.013603623995292668,210
gift,short,Chronos-2,common_factor,5,4,0.038294344341743516,0.009008662375249442,0.06758002630823759,0.04155825621591732,0.75,0.027105611806725233,0.05165901812621101,325
gift,short,Chronos-2,covariate_impulse_response,5,6,-0.0012103438103258492,-0.011749798594548796,0.009675507684541113,0.0011822157618763247,0.6666666666666666,-0.006022625279355295,0.0025684953504090282,21480
gift,short,Chronos-2,cross_series_dependence,5,8,0.01151670782215675,-0.0011027317248773355,0.03048808712294843,0.00212118752038939,0.75,0.002849416325412044,0.013972336719725349,17690
gift,short,tirex2,common_factor,5,4,-0.004123525737921456,-0.006465326134408389,-0.0012065658762062705,-0.005287277731397212,0.25,-0.005680104423486966,-0.0033427817146731167,325
gift,short,tirex2,covariate_impulse_response,5,6,0.0011146636563976492,-0.0001208083902004338,0.0032672245988348615,0.0002289318230388513,0.6666666666666666,6.975724449237806e-05,0.0014133561266394842,21480
gift,short,tirex2,cross_series_dependence,5,8,0.0026160509681654436,-0.0020012778071360014,0.007547811827667455,0.0007718103020902649,0.625,0.0009410821204605695,0.003974143151570122,17690
gift,short,toto2.0,common_factor,5,4,0.005018330553955567,-0.011992222228394144,0.03041714665396541,-0.004076922814447732,0.5,-0.007798909171173214,0.01177206803348215,325
gift,short,toto2.0,cross_series_dependence,5,8,0.031042828504090743,-0.0023666216319194835,0.0774031650377778,-0.0008497142611707733,0.5,0.010133286483424283,0.037006981257678484,17690
