suite,benchmark,horizon_group,model_id,official_mase_rank,official_mase_task_equal_mean,official_mase_ci_lower,official_mase_ci_upper,task_count,suite_task_count,task_coverage,median_task_mase,maximum_task_mase,maximum_mase_task_id,task_equal_mean_excluding_maximum_task,derived_macro_effect_nrmse,derived_macro_rank,mean_rank_across_40_capability_level_cells,cell_win_count_out_of_40,capability_rank_minus_official_rank
FEV-Mini20,FEV-Bench,native,timesfm2.5,1,1.43415681,0.7651468355,2.367973438,20,20,1,0.7422528437,7.91809525,fev__uk_covid_nation_1D-cumulative,1.092896892,0.5671737159,2,2.7,2,1
FEV-Mini20,FEV-Bench,native,toto2.0,2,1.553063204,0.8085497089,2.564667173,20,20,1,0.8230060644,9.398649836,fev__uk_covid_nation_1D-cumulative,1.140137592,0.519343402,1,2.025,19,-1
FEV-Mini20,FEV-Bench,native,moirai2,3,1.554739182,0.8500514344,2.549609148,20,20,1,0.819500373,8.230294625,fev__uk_covid_nation_1D-cumulative,1.203394159,0.6439230115,6,4.575,9,3
FEV-Mini20,FEV-Bench,native,Timer-4.0,4,1.596015442,0.8986678284,2.486614111,20,20,1,0.9099357816,8.205372754,fev__uk_covid_nation_1D-cumulative,1.248154531,0.7056258289,7,6.375,0,3
FEV-Mini20,FEV-Bench,native,Timer-3.5,5,1.705807044,0.7695602583,3.094341902,20,20,1,0.7380357562,12.0107291,fev__uk_covid_nation_1D-cumulative,1.163442725,0.6235238135,4,4.575,0,-1
FEV-Mini20,FEV-Bench,native,tirex2,6,1.746164893,1.07720908,2.627394267,20,20,1,0.8690157373,7.73074637,fev__uk_covid_nation_1D-cumulative,1.431186921,0.5819525612,3,3.25,5,-3
FEV-Mini20,FEV-Bench,native,Chronos-2,7,1.827602821,1.013974471,2.840382279,20,20,1,0.830858095,9.003530518,fev__uk_covid_nation_1D-cumulative,1.449922415,0.6396533393,5,4.5,5,-2
GIFT-Long,GIFT-Eval,long,Chronos-2,1,2.813510424,0.9899266167,5.658341896,11,11,1,1.048035189,13.65213222,gift_bizitobs_service,1.729648244,0.5784363042,1,1.15,34,0
GIFT-Long,GIFT-Eval,long,Timer-3.5,2,2.818207779,0.9041915092,5.745795729,11,11,1,1.013677756,14.29056715,gift_bizitobs_service,1.670971843,0.7751514368,4,4.175,0,2
GIFT-Long,GIFT-Eval,long,timesfm2.5,3,2.920054734,0.9485452354,5.488127092,11,11,1,1.006964856,14.63686533,gift_bizitobs_service,1.748373674,0.6738117791,2,2.5,6,-1
GIFT-Long,GIFT-Eval,long,Timer-4.0,4,3.073956277,0.9789190564,6.378829234,11,11,1,1.056186005,16.0468997,gift_bizitobs_service,1.776661935,0.7455437748,3,3.65,0,-1
GIFT-Long,GIFT-Eval,long,moirai2,5,4.138173509,1.299511508,8.60504217,11,11,1,1.229731202,24.13563168,gift_bizitobs_service,2.138427691,0.9554177392,6,5.175,0,1
GIFT-Long,GIFT-Eval,long,toto2.0,6,12.3428511,1.080329912,33.51659954,11,11,1,1.34422651,116.655344,gift_bizitobs_service,1.911601809,0.8336085494,5,4.35,0,-1
GIFT-Medium,GIFT-Eval,medium,Chronos-2,1,2.266452253,0.9681770583,4.338417534,11,11,1,1.090176822,10.50893584,gift_bizitobs_service,1.442203894,0.6471411338,1,2.25,25,0
GIFT-Medium,GIFT-Eval,medium,Timer-3.5,2,2.299305469,0.8862456126,4.385834542,11,11,1,1.016152954,10.49967708,gift_bizitobs_service,1.479268309,0.8212944367,4,4.15,0,2
GIFT-Medium,GIFT-Eval,medium,timesfm2.5,3,2.307843953,0.9204835695,4.142484875,11,11,1,1.008217434,10.63201264,gift_bizitobs_service,1.475427084,0.7002753986,2,2.7,9,-1
GIFT-Medium,GIFT-Eval,medium,Timer-4.0,4,2.369516498,0.9875449321,4.319210481,11,11,1,1.268925894,10.07474384,gift_bizitobs_service,1.598993764,0.7099150591,3,2.975,0,-1
GIFT-Medium,GIFT-Eval,medium,moirai2,5,3.082946512,1.208835119,6.06102558,11,11,1,1.472793702,16.59816267,gift_bizitobs_service,1.731424896,0.8821604501,6,4.425,4,1
GIFT-Medium,GIFT-Eval,medium,toto2.0,6,5.011916189,1.044808778,12.0404695,11,11,1,1.352857044,39.14569589,gift_bizitobs_service,1.598538218,0.858162133,5,4.5,2,-1
