suite,benchmark,horizon_group,task_id,model_id,capability_id,capability_level,official_instance_count,treatment_mase,treatment_mae
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,multi_seasonal,4,2427,2.887911716,375.9396113
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,multi_seasonal,5,2427,2.914904164,379.1034671
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,predictable_intermittency,1,2427,2.776165364,349.1620455
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,predictable_intermittency,2,2427,2.782268302,356.3797729
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,predictable_intermittency,3,2427,2.739150731,354.8061442
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,predictable_intermittency,4,2427,2.693302637,352.9554533
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,predictable_intermittency,5,2427,2.659172971,348.0332213
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,regime_switching,1,2427,2.561421748,296.4025708
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,regime_switching,2,2427,2.548014064,302.5738589
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,regime_switching,3,2427,2.564728413,305.0018935
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,regime_switching,4,2427,2.614792828,307.0439304
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,regime_switching,5,2427,2.752014303,336.9798458
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,time_varying_seasonality,1,2103,0.9008827599,387.6442328
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,time_varying_seasonality,2,2103,0.9375290374,396.9731266
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,time_varying_seasonality,3,2103,0.9851196237,410.5831766
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,time_varying_seasonality,4,2103,1.043853554,429.6728801
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,time_varying_seasonality,5,2103,1.10954043,452.6368065
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,trend,1,865,2.005134478,203.7826754
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,trend,2,865,2.002061499,195.7848339
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,trend,3,865,2.004698594,184.4824577
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,trend,4,865,2.007709793,175.0622258
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,trend,5,865,2.009097855,166.9696453
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,covariate_impulse_response,1,2393,1.236445031,291.5284019
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,covariate_impulse_response,2,2393,1.262394206,293.8506627
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,covariate_impulse_response,3,2393,1.291837496,299.0660537
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,covariate_impulse_response,4,2393,1.332241388,309.4863467
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,covariate_impulse_response,5,2393,1.377678832,324.002686
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,cross_series_dependence,1,2336,0.9298197326,298.0552199
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,cross_series_dependence,2,2336,0.945968768,300.6996434
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,cross_series_dependence,3,2336,0.9736373307,306.3666214
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,cross_series_dependence,4,2336,1.013163354,314.2079066
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,cross_series_dependence,5,2336,1.070221675,322.9465077
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,multi_seasonal,1,2427,2.718582952,364.9480564
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,multi_seasonal,2,2427,2.785177202,376.6501894
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,multi_seasonal,3,2427,2.82360106,380.4160989
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,multi_seasonal,4,2427,2.846234858,380.9261795
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,multi_seasonal,5,2427,2.860744874,382.9821477
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,predictable_intermittency,1,2427,2.764397817,338.7309907
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,predictable_intermittency,2,2427,2.716449982,367.4439124
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,predictable_intermittency,3,2427,2.671066841,373.2828108
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,predictable_intermittency,4,2427,2.623787422,331.8755429
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,predictable_intermittency,5,2427,2.585987347,324.3350921
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,regime_switching,1,2427,2.475304813,287.5743389
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,regime_switching,2,2427,2.475587131,270.650792
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,regime_switching,3,2427,2.478241728,270.2291201
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,regime_switching,4,2427,2.495606109,257.9299434
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,regime_switching,5,2427,2.576662637,294.2947475
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,time_varying_seasonality,1,2103,0.8661128136,332.4638162
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,time_varying_seasonality,2,2103,0.9110853166,344.1807886
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,time_varying_seasonality,3,2103,0.9730082266,385.5895136
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,time_varying_seasonality,4,2103,1.048557415,432.0340742
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,time_varying_seasonality,5,2103,1.136231022,461.7192988
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,trend,1,865,1.768698507,73.12389755
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,trend,2,865,1.774195079,75.1192178
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,trend,3,865,1.781993291,79.02252929
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,trend,4,865,1.790993912,83.73394543
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,trend,5,865,1.799551887,90.44209196
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,covariate_impulse_response,1,2393,1.297082004,379.6185781
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,covariate_impulse_response,2,2393,1.311627843,383.00463
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,covariate_impulse_response,3,2393,1.327591749,387.2790482
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,covariate_impulse_response,4,2393,1.349452912,393.4611205
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,covariate_impulse_response,5,2393,1.371231184,399.1944363
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,cross_series_dependence,1,2336,0.9633184834,380.1959684
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,cross_series_dependence,2,2336,0.9774070041,375.1548504
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,cross_series_dependence,3,2336,1.000091987,370.7053071
