suite,benchmark,horizon_group,task_id,model_id,official_instance_count,official_mase,official_mae
GIFT-Short,GIFT-Eval,short,gift_jena_weather_h,tirex2,19,0.5122453977,8.258157078
GIFT-Short,GIFT-Eval,short,gift_bizitobs_l2c_h,tirex2,6,0.4914519209,4.996289763
GIFT-Short,GIFT-Eval,short,gift_bizitobs_service,toto2.0,315,8.851842659,17.12035099
GIFT-Short,GIFT-Eval,short,gift_bitbrains_rnd_h,toto2.0,969,5.429467039,153.1532061
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,2427,2.438734383,305.9153628
GIFT-Short,GIFT-Eval,short,gift_bizitobs_application,toto2.0,15,2.085512405,310.7009563
GIFT-Short,GIFT-Eval,short,gift_electricity_h,toto2.0,7400,1.379887412,174.7682525
GIFT-Short,GIFT-Eval,short,gift_kdd_cup_h,toto2.0,2906,1.031745286,19.10565628
GIFT-Short,GIFT-Eval,short,gift_temperature_rain_d,toto2.0,95912,0.9391820377,5.895248474
GIFT-Short,GIFT-Eval,short,gift_solar_h,toto2.0,2603,0.8582068537,11.12229226
GIFT-Short,GIFT-Eval,short,gift_saugeenday_d,toto2.0,20,0.8495511149,12.77962284
GIFT-Short,GIFT-Eval,short,gift_ett1_h,toto2.0,20,0.8349930571,5.034138148
GIFT-Short,GIFT-Eval,short,gift_us_births_d,toto2.0,20,0.8186769732,223.2610107
GIFT-Short,GIFT-Eval,short,gift_loop_seattle_h,toto2.0,6137,0.8016993743,3.941847664
GIFT-Short,GIFT-Eval,short,gift_restaurant_d,toto2.0,197,0.7788217121,7.545399261
GIFT-Short,GIFT-Eval,short,gift_m_dense_h,toto2.0,600,0.7592454115,86.42551865
GIFT-Short,GIFT-Eval,short,gift_ett2_h,toto2.0,20,0.7582007463,6.574067255
GIFT-Short,GIFT-Eval,short,gift_hierarchical_sales_d,toto2.0,472,0.7053192203,2.419395127
GIFT-Short,GIFT-Eval,short,gift_m4_hourly,toto2.0,414,0.6529499552,197.8957616
GIFT-Short,GIFT-Eval,short,gift_sz_taxi_h,toto2.0,312,0.5577236814,1.83109881
GIFT-Short,GIFT-Eval,short,gift_jena_weather_h,toto2.0,19,0.5157021583,8.210534459
GIFT-Short,GIFT-Eval,short,gift_bizitobs_l2c_h,toto2.0,6,0.4037470895,4.114414899
