suite,benchmark,horizon_group,task_id,model_id,capability_id,capability_level,effect_nrmse_pooled,effect_scoring_coverage,effect_candidate_count,official_instance_count,effect_unavailable_low_signal_count,effect_unavailable_unobserved_count,effect_correlation_mean,effect_amplitude_ratio_pooled
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,covariate_impulse_response,3,0.6710703579,1,2393,2393,0,0,0.5151996388,1.102144155
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,covariate_impulse_response,4,0.4773665548,1,2393,2393,0,0,0.5919144175,1.05574132
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,covariate_impulse_response,5,0.3557802388,1,2393,2393,0,0,0.669153471,1.020407604
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,cross_series_dependence,1,0.9066597446,0.8356164384,2336,1952,384,0,0.1351204828,1.243621706
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,cross_series_dependence,2,1.030240072,0.9413527397,2336,2199,137,0,0.1563195338,1.357022396
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,cross_series_dependence,3,0.9771397001,0.9794520548,2336,2288,48,0,0.1622553224,1.318133358
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,cross_series_dependence,4,0.9564542827,0.991010274,2336,2315,21,0,0.1618651865,1.301506739
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,cross_series_dependence,5,0.9282069851,0.9944349315,2336,2323,13,0,0.1687096779,1.280210981
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,multi_seasonal,1,0.8770963909,1,2427,2427,0,0,0.5748283424,1.159674889
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,multi_seasonal,2,0.857137763,1,2427,2427,0,0,0.4613581453,1.004262818
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,multi_seasonal,3,1.015562393,1,2427,2427,0,0,0.3860586141,0.9676953557
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,multi_seasonal,4,1.209393848,1,2427,2427,0,0,0.3288532915,1.041170082
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,multi_seasonal,5,1.249635145,1,2427,2427,0,0,0.2866750472,1.015187361
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,predictable_intermittency,1,0.8576746375,1,2427,2427,0,0,0.7116760338,0.9319302383
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,predictable_intermittency,2,1.056635715,1,2427,2427,0,0,0.4826081401,0.8165574688
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,predictable_intermittency,3,1.448964158,1,2427,2427,0,0,0.2790929879,1.179089518
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,predictable_intermittency,4,1.523815796,1,2427,2427,0,0,0.1934338288,1.281768085
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,predictable_intermittency,5,1.948708986,1,2427,2427,0,0,0.09824720653,1.693307937
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,regime_switching,1,0.2026265992,1,2427,2427,0,0,0.4809747834,1.023081353
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,regime_switching,2,0.2367059226,1,2427,2427,0,0,0.4807638063,1.03277183
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,regime_switching,3,0.2328216193,1,2427,2427,0,0,0.4785168909,1.03429934
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,regime_switching,4,0.2945914881,1,2427,2427,0,0,0.4737588024,0.9332792915
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,regime_switching,5,0.295993871,1,2427,2427,0,0,0.3999790681,0.9133752432
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,time_varying_seasonality,1,1.740981695,0.9904897765,2103,2083,20,0,0.4248794118,1.800038501
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,time_varying_seasonality,2,1.265191897,1,2103,2103,0,0,0.5096803944,1.400250632
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,time_varying_seasonality,3,1.031667751,1,2103,2103,0,0,0.5970422739,1.216304695
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,time_varying_seasonality,4,0.8361394884,1,2103,2103,0,0,0.678766063,1.100397934
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,time_varying_seasonality,5,0.6742808693,1,2103,2103,0,0,0.7532241142,1.034196534
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,trend,1,2.080253313,1,865,865,0,0,-0.1339733871,2.271528049
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,trend,2,1.590910773,1,865,865,0,0,-0.07760364653,1.835317259
