suite,capability_id,left_model_id,right_model_id,paired_task_count,mean_difference_left_minus_right,paired_task_bootstrap_95_ci_lower,paired_task_bootstrap_95_ci_upper,significant_uncorrected,better_model_id
FEV-Mini20,common_factor,Timer-3.5,moirai2,9,-0.02129791484,-0.1393642595,0.06481846269,False,
FEV-Mini20,common_factor,Timer-3.5,toto2.0,9,0.06377226834,0.006590356191,0.1208676444,True,toto2.0
FEV-Mini20,common_factor,timesfm2.5,tirex2,9,0.01002404728,-0.02969251739,0.05553410768,False,
FEV-Mini20,common_factor,timesfm2.5,moirai2,9,-0.07913842162,-0.2273638946,0.03573905121,False,
FEV-Mini20,common_factor,timesfm2.5,toto2.0,9,0.005931761558,-0.07682159163,0.08758132753,False,
FEV-Mini20,common_factor,tirex2,moirai2,9,-0.08916246891,-0.2159829253,-0.001908379162,True,tirex2
FEV-Mini20,common_factor,tirex2,toto2.0,9,-0.004092285725,-0.06728313812,0.05421151372,False,
FEV-Mini20,common_factor,moirai2,toto2.0,9,0.08507018318,0.02960921639,0.1664276655,True,toto2.0
FEV-Mini20,covariate_impulse_response,Chronos-2,Timer-4.0,8,-0.08599295011,-0.1750675429,0.01218521401,False,
FEV-Mini20,covariate_impulse_response,Chronos-2,Timer-3.5,8,0.134423949,-0.09076341344,0.4238315759,False,
FEV-Mini20,covariate_impulse_response,Chronos-2,timesfm2.5,8,0.08565308061,-0.05662826783,0.2574263792,False,
FEV-Mini20,covariate_impulse_response,Chronos-2,tirex2,8,0.1256544898,-0.01092866842,0.3055906482,False,
FEV-Mini20,covariate_impulse_response,Chronos-2,moirai2,8,0.1018564361,-0.1718385017,0.4398083388,False,
FEV-Mini20,covariate_impulse_response,Chronos-2,toto2.0,8,0.2256482273,0.01658178414,0.4952287375,True,toto2.0
FEV-Mini20,covariate_impulse_response,Timer-4.0,Timer-3.5,8,0.2204168992,0.007043995089,0.4909827296,True,Timer-3.5
FEV-Mini20,covariate_impulse_response,Timer-4.0,timesfm2.5,8,0.1716460307,0.02512090254,0.3914279051,True,timesfm2.5
FEV-Mini20,covariate_impulse_response,Timer-4.0,tirex2,8,0.2116474399,0.07704601411,0.3747572135,True,tirex2
FEV-Mini20,covariate_impulse_response,Timer-4.0,moirai2,8,0.1878493862,-0.06828090215,0.4776506933,False,
FEV-Mini20,covariate_impulse_response,Timer-4.0,toto2.0,8,0.3116411774,0.1066711892,0.5583285085,True,toto2.0
FEV-Mini20,covariate_impulse_response,Timer-3.5,timesfm2.5,8,-0.04877086843,-0.2352011316,0.05868370668,False,
FEV-Mini20,covariate_impulse_response,Timer-3.5,tirex2,8,-0.008769459258,-0.12278363,0.09883995071,False,
FEV-Mini20,covariate_impulse_response,Timer-3.5,moirai2,8,-0.03256751292,-0.1057668248,0.03255452275,False,
FEV-Mini20,covariate_impulse_response,Timer-3.5,toto2.0,8,0.09122427827,0.02401342888,0.1663211272,True,toto2.0
FEV-Mini20,covariate_impulse_response,timesfm2.5,tirex2,8,0.04000140917,-0.07431715557,0.1679850155,False,
FEV-Mini20,covariate_impulse_response,timesfm2.5,moirai2,8,0.01620335551,-0.1362617614,0.2471656807,False,
FEV-Mini20,covariate_impulse_response,timesfm2.5,toto2.0,8,0.1399951467,-0.0009875941551,0.3313558906,False,
FEV-Mini20,covariate_impulse_response,tirex2,moirai2,8,-0.02379805366,-0.1912908744,0.1378404719,False,
FEV-Mini20,covariate_impulse_response,tirex2,toto2.0,8,0.09999373753,0.02330717526,0.1933584402,True,toto2.0
FEV-Mini20,covariate_impulse_response,moirai2,toto2.0,8,0.1237917912,0.02727925239,0.2547362449,True,toto2.0
FEV-Mini20,time_varying_seasonality,Chronos-2,Timer-4.0,20,-0.03379301304,-0.1087638327,0.0458226337,False,
FEV-Mini20,time_varying_seasonality,Chronos-2,Timer-3.5,20,0.05639101274,-0.0634180662,0.236629255,False,
FEV-Mini20,time_varying_seasonality,Chronos-2,timesfm2.5,20,0.07838483911,-0.05970440256,0.2807559482,False,
FEV-Mini20,time_varying_seasonality,Chronos-2,tirex2,20,0.01806077507,-0.02815769559,0.0632867178,False,
FEV-Mini20,time_varying_seasonality,Chronos-2,moirai2,20,0.01450486002,-0.1194037146,0.2093753221,False,
FEV-Mini20,time_varying_seasonality,Chronos-2,toto2.0,20,0.1493191189,0.03445773411,0.323183963,True,toto2.0
FEV-Mini20,time_varying_seasonality,Timer-4.0,Timer-3.5,20,0.09018402578,-0.03335524894,0.2426379601,False,
FEV-Mini20,time_varying_seasonality,Timer-4.0,timesfm2.5,20,0.1121778522,-0.02724670088,0.2826527484,False,
FEV-Mini20,time_varying_seasonality,Timer-4.0,tirex2,20,0.05185378811,-0.0490765232,0.1506067621,False,
FEV-Mini20,time_varying_seasonality,Timer-4.0,moirai2,20,0.04829787306,-0.07569158737,0.2032300454,False,
FEV-Mini20,time_varying_seasonality,Timer-4.0,toto2.0,20,0.183112132,0.06949350634,0.3185208078,True,toto2.0
FEV-Mini20,time_varying_seasonality,Timer-3.5,timesfm2.5,20,0.02199382637,-0.03034916492,0.07159981355,False,
