suite,benchmark,horizon_group,model_id,capability_id,level_averaged_effect_nrmse,task_bootstrap_95_ci_lower,task_bootstrap_95_ci_upper,task_count,suite_task_count,task_coverage,bootstrap_repetitions,derived_display_metric,capability_rank
GIFT-Short,GIFT-Eval,short,Chronos-2,time_varying_seasonality,0.5294781747,0.4121266092,0.646070923,19,20,0.95,20000,True,1
GIFT-Short,GIFT-Eval,short,toto2.0,time_varying_seasonality,0.5711975157,0.4000328441,0.7965808265,19,20,0.95,20000,True,2
GIFT-Short,GIFT-Eval,short,tirex2,time_varying_seasonality,0.5802932687,0.4434455604,0.7207725689,19,20,0.95,20000,True,3
GIFT-Short,GIFT-Eval,short,Timer-4.0,time_varying_seasonality,0.6229321115,0.4838302248,0.7558681232,19,20,0.95,20000,True,4
GIFT-Short,GIFT-Eval,short,Timer-3.5,time_varying_seasonality,0.6743320698,0.5208418674,0.8242976261,19,20,0.95,20000,True,5
GIFT-Short,GIFT-Eval,short,timesfm2.5,time_varying_seasonality,0.6794172013,0.4948120475,0.8684607253,19,20,0.95,20000,True,6
GIFT-Short,GIFT-Eval,short,moirai2,time_varying_seasonality,0.7404839685,0.5327852748,0.9854889794,19,20,0.95,20000,True,7
GIFT-Short,GIFT-Eval,short,Chronos-2,trend,0.08208250936,0.04277839853,0.1309772051,18,20,0.9,20000,True,1
GIFT-Short,GIFT-Eval,short,moirai2,trend,0.2149589024,0.1002285321,0.4035283464,18,20,0.9,20000,True,2
GIFT-Short,GIFT-Eval,short,timesfm2.5,trend,0.2155851914,0.07461529868,0.4059522516,18,20,0.9,20000,True,3
GIFT-Short,GIFT-Eval,short,Timer-3.5,trend,0.2430601202,0.105437891,0.4245750723,18,20,0.9,20000,True,4
GIFT-Short,GIFT-Eval,short,toto2.0,trend,0.2431896043,0.05900635338,0.4939974707,18,20,0.9,20000,True,5
GIFT-Short,GIFT-Eval,short,tirex2,trend,0.2562364899,0.0477111994,0.6202389169,18,20,0.9,20000,True,6
GIFT-Short,GIFT-Eval,short,Timer-4.0,trend,0.301293899,0.07186157511,0.6328458978,18,20,0.9,20000,True,7
