experiment_id,suite,benchmark,horizon_group,suite_order,capability_id,capability_level,left_model_id,metric,paired_task_bootstrap_95_ci_lower,paired_task_bootstrap_95_ci_upper,paired_task_count,right_model_id,task_equal_mean_difference_left_minus_right,significant_uncorrected,better_model_id
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,2,moirai2,capability_effect_nrmse,-0.03127755167,0.245921124,4,tirex2,0.1014969982,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,2,moirai2,capability_effect_nrmse,-0.19200222,0.3049062058,4,toto2.0,0.0525188506,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,2,timesfm2.5,capability_effect_nrmse,-0.005304558746,0.222763606,4,tirex2,0.08974546457,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,2,timesfm2.5,capability_effect_nrmse,-0.2401965361,0.2897112379,4,toto2.0,0.04076731694,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,2,tirex2,capability_effect_nrmse,-0.2985111349,0.09304445898,4,toto2.0,-0.04897814763,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,3,Chronos-2,capability_effect_nrmse,-0.1113614552,0.08483168776,4,Timer-3.5,-0.01957770489,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,3,Chronos-2,capability_effect_nrmse,-0.1434347524,-0.02091479025,4,moirai2,-0.07520249749,True,Chronos-2
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,3,Chronos-2,capability_effect_nrmse,-0.1163203109,-0.0009208463764,4,timesfm2.5,-0.05864115702,True,Chronos-2
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,3,Chronos-2,capability_effect_nrmse,-0.06079634665,0.10744766,4,tirex2,0.02159708076,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,3,Chronos-2,capability_effect_nrmse,-0.1120694831,0.1567692261,4,toto2.0,0.01518346079,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,3,Timer-3.5,capability_effect_nrmse,-0.2160958094,0.05134946472,4,moirai2,-0.0556247926,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,3,Timer-3.5,capability_effect_nrmse,-0.1833250019,0.03489330138,4,timesfm2.5,-0.03906345213,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,3,Timer-3.5,capability_effect_nrmse,0.007741070383,0.08066407034,4,tirex2,0.04117478565,True,tirex2
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,3,Timer-3.5,capability_effect_nrmse,-0.06999313617,0.1021872405,4,toto2.0,0.03476116568,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,3,moirai2,capability_effect_nrmse,-0.02058690897,0.0486952203,4,timesfm2.5,0.01656134047,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,3,moirai2,capability_effect_nrmse,-0.01463192362,0.2229167312,4,tirex2,0.09679957825,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,3,moirai2,capability_effect_nrmse,-0.06429816533,0.3002273258,4,toto2.0,0.09038595828,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,3,timesfm2.5,capability_effect_nrmse,0.0009406157329,0.1901459237,4,tirex2,0.08023823778,True,tirex2
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,3,timesfm2.5,capability_effect_nrmse,-0.0976624127,0.2683350124,4,toto2.0,0.07382461781,False,
