suite,benchmark,horizon_group,model_id,capability_id,capability_level,effect_nrmse_task_equal,effect_nrmse_ci_lower,effect_nrmse_ci_upper,task_count,suite_task_count,task_coverage,cell_rank,cell_winner
FEV-Mini20,FEV-Bench,native,moirai2,covariate_impulse_response,3,0.6726058023,0.6338448929,0.7164339127,8,20,0.4,5,False
FEV-Mini20,FEV-Bench,native,Chronos-2,covariate_impulse_response,3,0.7791575452,0.5312971593,1.0849198,8,20,0.4,6,False
FEV-Mini20,FEV-Bench,native,toto2.0,covariate_impulse_response,4,0.5092930069,0.4095391296,0.5961057958,8,20,0.4,1,True
FEV-Mini20,FEV-Bench,native,timesfm2.5,covariate_impulse_response,4,0.5759541023,0.5002302583,0.661945777,8,20,0.4,2,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,covariate_impulse_response,4,0.6012425024,0.5351344473,0.6654961036,8,20,0.4,3,False
FEV-Mini20,FEV-Bench,native,tirex2,covariate_impulse_response,4,0.6133628947,0.4802999363,0.7609743021,8,20,0.4,4,False
FEV-Mini20,FEV-Bench,native,moirai2,covariate_impulse_response,4,0.6482539147,0.6136584755,0.6786461496,8,20,0.4,5,False
FEV-Mini20,FEV-Bench,native,Chronos-2,covariate_impulse_response,4,0.7360856571,0.4920984946,1.054579596,8,20,0.4,6,False
FEV-Mini20,FEV-Bench,native,toto2.0,covariate_impulse_response,5,0.478426594,0.3783167249,0.5632714158,8,20,0.4,1,True
FEV-Mini20,FEV-Bench,native,timesfm2.5,covariate_impulse_response,5,0.5350112675,0.4546032878,0.6116182276,8,20,0.4,2,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,covariate_impulse_response,5,0.5588135301,0.4779037907,0.6403649362,8,20,0.4,3,False
FEV-Mini20,FEV-Bench,native,tirex2,covariate_impulse_response,5,0.5788864748,0.437082153,0.7185575838,8,20,0.4,4,False
FEV-Mini20,FEV-Bench,native,moirai2,covariate_impulse_response,5,0.6176404583,0.5812053031,0.6500116137,8,20,0.4,5,False
FEV-Mini20,FEV-Bench,native,Chronos-2,covariate_impulse_response,5,0.6806722003,0.4487523352,0.9781540914,8,20,0.4,6,False
FEV-Mini20,FEV-Bench,native,Chronos-2,cross_series_dependence,1,0.5792853116,0.3240110787,0.8543707777,9,20,0.45,1,True
