suite,benchmark,horizon_group,model_id,official_mase_rank,official_mase_task_equal_mean,official_mase_ci_lower,official_mase_ci_upper,task_count,suite_task_count,task_coverage,median_task_mase,maximum_task_mase,maximum_mase_task_id,task_equal_mean_excluding_maximum_task
FEV-Mini20,FEV-Bench,native,timesfm2.5,1,1.43415681,0.7651468355,2.367973438,20,20,1,0.7422528437,7.91809525,fev__uk_covid_nation_1D-cumulative,1.092896892
FEV-Mini20,FEV-Bench,native,toto2.0,2,1.553063204,0.8085497089,2.564667173,20,20,1,0.8230060644,9.398649836,fev__uk_covid_nation_1D-cumulative,1.140137592
FEV-Mini20,FEV-Bench,native,moirai2,3,1.554739182,0.8500514344,2.549609148,20,20,1,0.819500373,8.230294625,fev__uk_covid_nation_1D-cumulative,1.203394159
FEV-Mini20,FEV-Bench,native,Timer-3.5,4,1.705807044,0.7695602583,3.094341902,20,20,1,0.7380357562,12.0107291,fev__uk_covid_nation_1D-cumulative,1.163442725
FEV-Mini20,FEV-Bench,native,tirex2,5,1.746164893,1.07720908,2.627394267,20,20,1,0.8690157373,7.73074637,fev__uk_covid_nation_1D-cumulative,1.431186921
FEV-Mini20,FEV-Bench,native,Chronos-2,6,1.827602821,1.013974471,2.840382279,20,20,1,0.830858095,9.003530518,fev__uk_covid_nation_1D-cumulative,1.449922415
GIFT-Long,GIFT-Eval,long,Chronos-2,1,2.813510424,0.9899266167,5.658341896,11,11,1,1.048035189,13.65213222,gift_bizitobs_service,1.729648244
GIFT-Long,GIFT-Eval,long,Timer-3.5,2,2.818207779,0.9041915092,5.745795729,11,11,1,1.013677756,14.29056715,gift_bizitobs_service,1.670971843
GIFT-Long,GIFT-Eval,long,timesfm2.5,3,2.920054734,0.9485452354,5.488127092,11,11,1,1.006964856,14.63686533,gift_bizitobs_service,1.748373674
GIFT-Long,GIFT-Eval,long,moirai2,4,4.138173509,1.299511508,8.60504217,11,11,1,1.229731202,24.13563168,gift_bizitobs_service,2.138427691
GIFT-Long,GIFT-Eval,long,toto2.0,5,12.3428511,1.080329912,33.51659954,11,11,1,1.34422651,116.655344,gift_bizitobs_service,1.911601809
GIFT-Medium,GIFT-Eval,medium,Chronos-2,1,2.266452253,0.9681770583,4.338417534,11,11,1,1.090176822,10.50893584,gift_bizitobs_service,1.442203894
GIFT-Medium,GIFT-Eval,medium,Timer-3.5,2,2.299305469,0.8862456126,4.385834542,11,11,1,1.016152954,10.49967708,gift_bizitobs_service,1.479268309
GIFT-Medium,GIFT-Eval,medium,timesfm2.5,3,2.307843953,0.9204835695,4.142484875,11,11,1,1.008217434,10.63201264,gift_bizitobs_service,1.475427084
GIFT-Medium,GIFT-Eval,medium,moirai2,4,3.082946512,1.208835119,6.06102558,11,11,1,1.472793702,16.59816267,gift_bizitobs_service,1.731424896
GIFT-Medium,GIFT-Eval,medium,toto2.0,5,5.011916189,1.044808778,12.0404695,11,11,1,1.352857044,39.14569589,gift_bizitobs_service,1.598538218
GIFT-Short,GIFT-Eval,short,toto2.0,1,1.572560429,0.8710951308,2.57196328,20,20,1,0.8268350152,8.851842659,gift_bizitobs_service,1.189440311
GIFT-Short,GIFT-Eval,short,tirex2,2,1.5878163,0.8665595978,2.562971156,20,20,1,0.8131480996,8.920078376,gift_bizitobs_service,1.20190777
GIFT-Short,GIFT-Eval,short,timesfm2.5,3,1.601633415,0.8870740187,2.57748286,20,20,1,0.8255799956,8.807207683,gift_bizitobs_service,1.222392664
GIFT-Short,GIFT-Eval,short,Timer-3.5,4,1.647942927,0.866533692,2.758557257,20,20,1,0.7982267599,9.654072949,gift_bizitobs_service,1.226567663
GIFT-Short,GIFT-Eval,short,Chronos-2,5,1.695633754,0.9049432455,2.835271142,20,20,1,0.8136094848,10.45317162,gift_bizitobs_service,1.234710709
GIFT-Short,GIFT-Eval,short,moirai2,6,1.821645488,0.9732756543,3.044908619,20,20,1,0.9197277893,11.18309679,gift_bizitobs_service,1.328937525
