suite,benchmark,horizon_group,model_id,capability_id,level_averaged_treatment_mase,task_count,level_averaged_effect_nrmse,capability_rank,treatment_mase_rank,same_winner
GIFT-Long,GIFT-Eval,long,toto2.0,covariate_impulse_response,53.23788292,3,0.8574889064,5,5,False
GIFT-Long,GIFT-Eval,long,Chronos-2,cross_series_dependence,6.668801933,6,0.8932563752,1,1,True
GIFT-Long,GIFT-Eval,long,Timer-3.5,cross_series_dependence,7.004638977,6,0.9945917008,2,2,False
GIFT-Long,GIFT-Eval,long,moirai2,cross_series_dependence,10.12800026,6,1.018634786,3,4,False
GIFT-Long,GIFT-Eval,long,timesfm2.5,cross_series_dependence,7.445994404,6,1.058004421,4,3,False
GIFT-Long,GIFT-Eval,long,toto2.0,cross_series_dependence,36.76057018,6,1.325611073,5,5,False
GIFT-Long,GIFT-Eval,long,Chronos-2,multi_seasonal,6.252351672,11,0.9144960364,1,2,False
GIFT-Long,GIFT-Eval,long,timesfm2.5,multi_seasonal,4.889913785,11,0.965956275,2,1,False
GIFT-Long,GIFT-Eval,long,toto2.0,multi_seasonal,21.86892757,11,0.9977196969,3,5,False
GIFT-Long,GIFT-Eval,long,Timer-3.5,multi_seasonal,6.779557258,11,1.167812185,4,3,False
GIFT-Long,GIFT-Eval,long,moirai2,multi_seasonal,9.54247896,11,1.637531213,5,4,False
GIFT-Long,GIFT-Eval,long,Chronos-2,predictable_intermittency,3.13067106,11,1.05107737,1,2,False
GIFT-Long,GIFT-Eval,long,timesfm2.5,predictable_intermittency,3.185470576,11,1.068544321,2,3,False
GIFT-Long,GIFT-Eval,long,Timer-3.5,predictable_intermittency,3.087437983,11,1.118298715,3,1,False
GIFT-Long,GIFT-Eval,long,toto2.0,predictable_intermittency,16.40711439,11,1.184021371,4,5,False
GIFT-Long,GIFT-Eval,long,moirai2,predictable_intermittency,4.635746237,11,1.68312581,5,4,False
GIFT-Long,GIFT-Eval,long,Chronos-2,regime_switching,2.934148746,11,0.06447970995,1,1,True
